What is the molecular formula of benzene?,C_{6}H_{6}
Describe the geometric shape of the benzene molecule.,A planar hexagonal ring of six carbon atoms.
What type of hybridization is found in the carbon atoms of a benzene ring?,sp^{2} hybridization
What is the approximate bond angle between carbon atoms in a benzene ring?,120^{\circ}
The two alternating single and double bond structures proposed for benzene are known as _____ structures.,Kekulé
How many \pi electrons are delocalized over the carbon ring in benzene?,Six
The experimental carbon–carbon bond length in benzene is _____ pm.,139
How does the C-C bond length in benzene compare to typical single and double bonds?,It is intermediate between a single bond (154 pm) and a double bond (134 pm).
Why is benzene less reactive than expected for a molecule with three double bonds?,Resonance stabilization lowers its total energy.
What is the approximate resonance stabilization energy of benzene?,150 kJ \cdot mol^{-1}
"In valence-bond theory, the \pi-bonds in benzene result from the side-by-side overlap of _____ orbitals.",Unhybridized 2p_{z}
Which general class of hydrocarbons includes benzene and its derivatives?,Arenes (or aromatic hydrocarbons)
The term for a benzene ring when it acts as a substituent in a larger molecule is a _____ group.,Phenyl
"What is the general name for aromatic hydrocarbon groups, such as the phenyl group?",Aryl groups
Term: Naphthalene,Definition: A polycyclic aromatic hydrocarbon consisting of two fused benzene rings with the formula C_{10}H_{8}.
Which three-ring fused aromatic hydrocarbon is obtained from the distillation of coal?,Anthracene (C_{14}H_{10})
"In aromatic nomenclature, the 1,2-disubstituted position on a benzene ring is designated as _____.",ortho- (o-)
"In aromatic nomenclature, the 1,3-disubstituted position on a benzene ring is designated as _____.",meta- (m-)
"In aromatic nomenclature, the 1,4-disubstituted position on a benzene ring is designated as _____.",para- (p-)
What is the common name for methylbenzene?,Toluene
What is the common name for dimethylbenzene?,Xylene
What is the common name for hydroxybenzene?,Phenol
"Unlike alkenes, which undergo addition, benzene typically undergoes _____ reactions to preserve its aromatic ring.",Substitution
What specific mechanism is used for the substitution of atoms on an electron-rich benzene ring?,Electrophilic substitution
Which catalyst is necessary to facilitate the bromination of benzene?,Iron(III) bromide (FeBr_{3})
"In the bromination of benzene, the FeBr_{3} catalyst acts as a _____ to polarize the bromine molecule.",Lewis acid
Substituents that increase the electron density of the benzene ring and speed up reactions are called _____ groups.,Activating
How do electron-donating groups like -OH typically direct the position of further substitution on a benzene ring?,To the ortho and para positions.
How do electron-withdrawing groups like -COOH typically affect the rate of electrophilic substitution?,They decrease the reaction rate (deactivating).
At which position does a nitro group (-NO_{2}) primarily direct incoming electrophiles on a benzene ring?,The meta position.
What is the primary source of commercial aromatic hydrocarbons like benzene and naphthalene?,Coal (specifically coal tar)
Why is benzene resistant to the standard bromine color-change test used for alkenes?,The delocalized \pi electrons are too stable to be easily available for addition reactions.
"According to Molecular Orbital theory, how many \pi molecular orbitals are formed from the six 2p_{z} orbitals in benzene?",Six
"In the ground state of benzene, which types of molecular orbitals are occupied by electrons?",Net bonding orbitals only.
What is the term for an aromatic compound containing two or more benzene rings that share two neighboring carbon atoms?,Polycyclic compound
The stability resulting from electron delocalization in benzene is represented by a _____ inside a hexagon.,Circle
Identify one example of a meta-directing substituent mentioned in the text.,The carboxyl group (-COOH) or nitro group (-NO_{2}).
Which amino acid side chain contains a simple benzene ring (phenyl group)?,Phenylalanine
What is the chemical name for C_{6}H_{4}Cl_{2} with chlorines at the 1 and 2 positions?,"1,2-dichlorobenzene (or ortho-dichlorobenzene)"
Which property of aromatic rings in DNA and RNA has important consequences for their light absorption?,Electron delocalization
Concept: Heteronuclear aromatic compounds,"Definition: Aromatic rings that include atoms other than carbon, such as nitrogen in purines and pyrimidines."
Why are the carbon–carbon bonds in benzene identical in length?,The electrons in the \pi-bonds are delocalized over the entire ring.
The process of heating coal in the absence of oxygen to obtain aromatic hydrocarbons is called _____.,Destructive distillation
A substituent that withdraws electron density by resonance or electronegativity is called a _____ group.,Deactivating
"What determines the ""chemical personality"" of an aromatic compound according to the text?",The chemistry of its functional groups and their 3D spatial disposition.
What is the specific name for the reaction where benzene reacts with nitric acid to form nitrobenzene?,Nitration
"In the context of vision, what transition occurs in molecules with conjugated double bonds when they absorb visible light?",A \pi-to-\pi^{*} transition.
What is the name of the simplest conducting polymer that uses delocalized \pi-bonds similar to those in aromatic rings?,Polyacetylene
"In the MO diagram of benzene, how many electrons occupy the lowest-energy bonding orbital (1\pi)?",Two
The hexagonal ring of benzene is exceptionally stable; such rings are referred to as _____ rings.,Aromatic
