The process by which molecules with greater-than-average kinetic energy escape from the surface of a liquid to become a gas is called _____.,Evaporation (or Vaporization)
How does evaporation affect the temperature of the remaining liquid?,It cools the liquid because high-energy molecules are removed.
What term describes the process of gaseous molecules returning to the liquid state?,Condensation
"In a closed container, what state is reached when the rate of evaporation equals the rate of condensation?",Dynamic equilibrium
Term: Vapor Pressure,Definition: The pressure exerted by a vapor in dynamic equilibrium with its liquid (or solid) at a fixed temperature.
Why is the equilibrium between a liquid and its vapor described as 'dynamic'?,Both evaporation and condensation occur simultaneously at equal rates.
How does increasing the temperature of a liquid affect its vapor pressure?,The vapor pressure increases.
Liquids that have a high vapor pressure at ordinary temperatures are described as _____.,Volatile
What is the relationship between the strength of intermolecular forces and a liquid's vapor pressure?,Stronger intermolecular forces result in a lower vapor pressure.
Why does ethanol have a lower vapor pressure than dimethyl ether at the same temperature despite having the same molecular formula?,"Ethanol can form hydrogen bonds, which are stronger than the forces in dimethyl ether."
How does a high enthalpy of vaporization ( \Delta H_{vap} ) relate to the volatility of a liquid?,A high  \Delta H_{vap}  indicates low volatility (stronger intermolecular forces).
What is the specific temperature at which the vapor pressure of a liquid equals the external (atmospheric) pressure?,Boiling point
The temperature at which a liquid boils when the external pressure is exactly  1 \text{ atm}  is the _____.,Normal boiling point
How does the vapor pressure of a liquid at its normal boiling point compare to standard atmospheric pressure?,It is exactly equal to  1 \text{ atm}  (or  760 \text{ Torr} ).
Formula: Clausius–Clapeyron equation (two-point form), \ln\left(\frac{P_2}{P_1}\right) = -\frac{\Delta H_{vap}}{R} \left(\frac{1}{T_2} - \frac{1}{T_1}\right) 
"In the Clausius–Clapeyron equation, what does the constant  R  represent?",The gas constant
"On a phase diagram, what does the boundary line between the liquid and vapor regions represent?",The variation of vapor pressure with temperature.
What thermodynamic condition is met when two phases are in dynamic equilibrium at a constant temperature and pressure?,The Gibbs free energy change ( \Delta G ) is zero.
Formula: Raoult's Law for a solvent in a solution, P = x_{solvent} P_{pure} 
How does the addition of a nonvolatile solute affect the vapor pressure of a solvent?,It lowers the vapor pressure.
"According to Raoult's Law, the vapor pressure of a solvent is directly proportional to its _____ in the solution.",Mole fraction ( x_{solvent} )
Why does a nonvolatile solute cause boiling-point elevation?,"The solute lowers the vapor pressure, requiring a higher temperature to reach atmospheric pressure."
What is 'sublimation'?,The process where a solid vaporizes directly into a gas without passing through the liquid phase.
