Reserve stem cells are typically found in which phase of the cell cycle when inactive?,The G_{0} phase.
What event triggers reserve stem cells to re-enter the cell cycle?,Injury to cells within the body tissues.
What is the consequence of damage that is severe enough to kill the reserve stem cell population?,There is no potential for tissue regeneration.
During which phase of embryonic development is the trilaminar germ disk formed?,Gastrulation.
What are the three primary germ layers that give rise to all tissues and organs?,"Ectoderm, mesoderm, and endoderm."
Which embryonic layer gives rise to the epidermis and the adenohypophysis?,Surface ectoderm.
"Connective tissues, striated muscles, and the adrenal cortex are derivatives of which germ layer?",Mesoderm.
Which germ layer forms the epithelial lining of the respiratory system and the alimentary canal?,Endoderm.
"In the head region, specific progenitor cells for connective tissue are derived from which ectodermal source?",Neural crest cells.
What is the term for the primitive connective tissue established through the proliferation of mesodermal and neural crest cells?,Mesenchyme.
Which tissue component provides mechanical support and influences extracellular communication for cells?,The extracellular matrix (ECM).
What term describes the adult counterparts of embryonic stem cells found in bone marrow?,Multipotent adult progenitor cells (MAPCs).
What niche of adult stem cells is found within the loose connective tissue of the adult?,Mesenchymal stem cells.
Which specific cell surface markers identify a human hematopoietic stem cell (HSC)?,"Lin^{-}, CD34^{+}, CD90^{+}, and CD38^{-}."
What is the primary function of satellite cells in skeletal muscle?,Postnatal muscle growth and response to exercise or damage.
"In chronic muscular dystrophy, what eventually happens to the pool of satellite cells?",The satellite cell pool is exhausted.
From which specific part of the blastocyst are embryonic stem cells (ES cells) derived?,The inner cell mass (embryoblast).
What term describes cells that are capable of forming all cell types of an organism?,Totipotent.
"What is the term for cells capable of forming many, but not all, cell types?",Pluripotent.
Where is the niche for corneal epithelial stem cells located?,The corneoscleral limbus.
What clinical condition results from the total depletion of corneal epithelial stem cells?,Conjunctivalization of the cornea.
Which embryonic structure provides the first identifiable site for primordial germ cells (PGCs)?,The wall of the yolk sac.
At what stage of development is the embryo a hollow ball of about one-hundred cells?,The blastocyst stage.
Which signal from the trophoblast is required for the induction and development of the germ line?,Bone morphogenetic proteins (Bmps).
Which transcription factors are essential for maintaining the pluripotent state of the inner cell mass?,"Oct4, Nanog, and Sox2."
Which transcription factors in the trophoblast are required to downregulate pluripotency factors in the morula?,Cdx2 and Eomes.
The embryoblast reorganizes into which two layers during the second week of development?,Epiblast and hypoblast.
Which embryonic layer gives rise to the definitive endoderm by displacing the hypoblast?,Epiblast.
The process of individual epiblast cells detaching and migrating through the primitive streak is called _____.,Ingression.
Which zinc-finger transcription factor is responsible for repressing epithelial characteristics during EMT?,Snail.
Which embryonic structure patterns the head in the mouse model and is a region of extraembryonic endoderm?,The anterior visceral endoderm (AVE).
The reservoir of cells that allows the embryo to extend caudally after primitive streak regression is the _____.,Tail bud (or caudal eminence).
What niche in the hair follicle contains stem cells capable of regenerating the epidermis after severe wounding?,The bulge.
Which three stem cell populations are found within the skin?,"Basal stem cells, the bulge, and cells at the base of the sebaceous gland."
Skin stem cell differentiation requires the activation of which signaling pathway?,Notch signaling.
Which transcription factor is a characteristic marker for all three skin stem cell populations?,p63.
What is the embryonic origin of multipotent skin-derived precursor (SKP) cells?,Neural crest cells.
Where are the self-renewing stem cells of the intestinal epithelium located?,At the base of the intestinal crypts.
Which surface marker identifies the self-renewing stem cells of the gastrointestinal tract?,Lgr5.
"In the intestinal niche, stem cells are nestled between which type of antimicrobial-secreting cells?",Paneth cells.
Which growth factor is essential for stimulating early cardiogenic transcription factors like Nkx2.5?,Bmp2.
"Starting on day seventeen, vessels arise in the yolk sac from aggregates of cells called _____.",Hemangioblasts.
What are the two cell lineages that arise from hemangioblasts?,Hematopoietic progenitor cells and endothelial precursor cells.
Which region of the intraembryonic splanchnic mesoderm generates definitive hematopoietic stem cells (HSCs)?,The aorta-gonad-mesonephros (AGM) region.
What receptor acts as an early marker for hemangioblasts within the yolk sac wall?,Vegfr2 (or Flk1).
Which glial cells in the eye can re-enter the cell cycle to assist in retinal damage response?,Müller glia.
The method of producing genetically identical organisms using unfertilized eggs and diploid donor nuclei is known as _____.,Cloning.
What is the primary difference between therapeutic and reproductive cloning?,"Therapeutic cloning transplants ES cells into the donor to replace tissue, while reproductive cloning produces an identical individual."
Which technique involves the introduction of induced pluripotent stem cells (iPSCs) derived from the patient's own skin?,Cell replacement therapy.
The process of de novo blood vessel formation is termed _____.,Vasculogenesis.
The expansion and remodeling of primitive vasculature through budding from existing vessels is called _____.,Angiogenesis.
What provides the mechanical and structural support required to anchor cells within tissues?,The extracellular matrix.
Which embryonic layer gives rise to the satellite cells of the trunk and limbs?,Somites (mesoderm).
Which negative regulator protein inhibits skeletal-muscle growth and differentiation?,Myostatin.
What happens to the rate of regeneration compared to degeneration in muscular dystrophies?,The rate of degeneration exceeds the rate of regeneration.
"In the adult mammalian brain, which cells retain the ability to divide and migrate to sites of injury?",Neural stem cells.
Where do smooth muscle progenitor cells originate during vascular repair after injury?,Adventitia of blood vessels.
Which transcription factor regulates most smooth muscle differentiation marker genes?,Serum response factor (SRF).
What provides the inductive signal for the specification of the early cardiovascular lineage?,Interaction of cranial lateral mesoderm with the endoderm.
Which type of erythrocytes serve as a stopgap population to meet early embryonic oxygen needs?,Primitive erythrocytes (from the yolk sac).
What is the primary function of bone marrow stromal cells (BMSCs)?,"Generating chondrocytes, osteoblasts, adipocytes, muscle cells, and endothelial cells."
"During gastrulation, the transition from tightly connected sheets to loosely connected cells is called an _____.",Epithelial-to-mesenchymal transformation (EMT).
What describes the ability of neural crest cells to give rise to a large variety of different cell types?,Stem-like plasticity.
Where have adult stem cell niches been recently identified in teeth for potential regenerative use?,Dental pulp.
Which cell cycle inhibitor is induced by Notch signaling to promote skin differentiation?,p21.
What determines the identity and orientation of facial skeletal structures according to transplant experiments?,The region and orientation of the transplanted endoderm.
