What is the chemical definition of a carbohydrate?,"Carbohydrates are polyhydroxy aldehydes, polyhydroxy ketones, or substances that yield them upon hydrolysis."
What is the general empirical formula for most simple carbohydrates?,"(CH_2O)_n, where n \ge 3."
What naming convention is used for the common names of most sugars?,"They end with the suffix ""-ose""."
What is the distinction between an 'aldose' and a 'ketose'?,"An aldose has a carbonyl group at the end of the carbon chain (aldehyde), while a ketose has it at any other position (ketone)."
How are monosaccharides classified based on the number of carbon atoms in their backbone?,"They are named by the number of carbons followed by the suffix -ose (e.g., triose, tetrose, pentose, hexose)."
Term: Monosaccharide,Definition: The simplest form of carbohydrate that cannot be hydrolyzed into smaller carbohydrate units.
Which three-carbon monosaccharide is the simplest aldose?,Glyceraldehyde (an aldotriose).
Which three-carbon monosaccharide is the simplest ketose?,Dihydroxyacetone (a ketotriose).
"What is the primary six-carbon aldohexose found in nature, often called dextrose?",D-glucose.
How is D-fructose classified according to its functional group and carbon count?,It is a ketohexose.
"Except for dihydroxyacetone, all monosaccharides contain one or more _____.",Asymmetric (chiral) carbon atoms.
What is the formula used to calculate the number of possible stereoisomers for a sugar with n chiral centers?,2^n.
"In a Fischer projection of a sugar, what do horizontal and vertical lines represent respectively?",Horizontal lines point toward the viewer; vertical lines point away from the viewer.
How is a monosaccharide designated as a 'D' isomer in a Fischer projection?,The hydroxyl group on the chiral carbon furthest from the carbonyl group is on the right.
Term: Enantiomers,"Definition: Stereoisomers that are non-superimposable mirror images of each other, such as D- and L-glyceraldehyde."
What are 'epimers'?,Two sugars that differ in configuration around only one specific carbon atom.
D-glucose and D-galactose are epimers at which carbon position?,Carbon-4 (C-4).
"In aqueous solution, aldotetroses and monosaccharides with five or more carbons occur predominantly in what form?",Cyclic (ring) structures.
What chemical reaction creates the cyclic form of an aldose?,The reaction between an aldehyde and an alcohol to form a hemiacetal.
What chemical reaction creates the cyclic form of a ketose?,The reaction between a ketone and an alcohol to form a hemiketal.
What is the 'anomeric carbon' in a cyclic sugar?,The carbonyl carbon atom that becomes a new chiral center upon ring closure.
How are \alpha and \beta anomers distinguished in a Haworth perspective formula for D-glucose?,The \alpha anomer has the hydroxyl group on the opposite side of the ring from C-6; the \beta anomer has it on the same side.
Term: Pyranose,"Definition: A six-membered ring sugar structure, named for its similarity to the compound pyran."
Term: Furanose,"Definition: A five-membered ring sugar structure, named for its similarity to the compound furan."
What is the process called when \alpha and \beta anomers interconvert in solution to reach equilibrium?,Mutarotation.
Why is a chair conformation more accurate than a Haworth projection for representing hexoses?,It accounts for the fact that the atoms in the six-membered ring are not actually in a single plane.
Which two five-carbon sugars are essential structural components of nucleic acids?,D-ribose (in RNA) and 2-deoxy-D-ribose (in DNA).
What modification distinguishes 2-deoxy-D-ribose from D-ribose?,The hydroxyl group at the Carbon-2 (C-2) position is replaced by a hydrogen atom.
