Into which two major compartments can a cell be divided?,The cytoplasm and the nucleus.
The cytoplasm contains organelles and inclusions suspended in an aqueous gel called the _____.,Cytoplasmic matrix (or cytosol).
What structural feature distinguishes membranous organelles from nonmembranous ones?,A plasma membrane that separates the internal environment of the organelle from the cytoplasm.
What is the approximate total thickness of the plasma membrane when viewed with a transmission electron microscope?,8 to 10 nm.
The lipid bilayer of the plasma membrane is described as _____ because it contains both hydrophobic and hydrophilic regions.,Amphipathic.
"Which portion of the phospholipid molecule forms the inner, water-repelling portion of the plasma membrane?",The fatty-acid chains.
Which portion of the phospholipid molecule forms the hydrophilic surfaces of the plasma membrane?,The polar head groups.
"In freeze fracture, what is the name for the membrane surface backed by extracellular space?",The E-face.
"In freeze fracture, what is the name for the membrane surface backed by the cytoplasm (protoplasm)?",The P-face.
What is the term for membrane proteins that are fully embedded within the lipid bilayer?,Integral membrane proteins.
What localized regions of the plasma membrane contain high concentrations of cholesterol and glycosphingolipids to control protein distribution?,Lipid rafts.
Concept: Glycocalyx,Definition: A cell coat formed by glycolipids and glycoproteins on the extracellular surface of the plasma membrane.
Which functional category of membrane proteins allows the passage of small ions and water via passive diffusion?,Channels.
Which category of integral membrane proteins anchors the intracellular cytoskeleton to the extracellular matrix?,Linker proteins.
The process of _____ involves the ingestion of fluid and small protein molecules through small vesicles.,Pinocytosis.
"The ingestion of large particles, such as bacteria or cell debris, into large vesicles is known as _____.",Phagocytosis.
Which protein aggregates on the cytoplasmic surface of the plasma membrane to form a basketlike cage during receptor-mediated endocytosis?,Clathrin.
What 100-kilodalton GTPase is responsible for liberating clathrin-coated vesicles from the plasma membrane?,Dynamin.
Where in the cell are early endosomes typically found?,Peripheral cytoplasm.
Where in the cell are late endosomes typically positioned?,Near the Golgi apparatus and the nucleus.
"Which organelles are described as ""prelysosomes"" because they mature into lysosomes?",Late endosomes.
What is the average pH of a late endosome?,5.5.
Which selective transporter vesicles move substances specifically between early and late endosomes?,Multivesicular bodies (MVBs).
The process of _____ involves the removal of cytoplasmic components by digesting them within lysosomes.,Autophagy.
What is the primary function of the rough-surfaced endoplasmic reticulum (rER)?,Protein synthesis and post-translational modification of newly synthesized proteins.
"In light microscopy, what is the term for the basophilic regions of cytoplasm that represent rER?",Ergastoplasm.
Which organelle is the site of lipid and steroid synthesis and does not associate with ribosomes?,Smooth-surfaced endoplasmic reticulum (sER).
Which membranous organelle is composed of multiple flattened cisternae and is responsible for sorting and packaging proteins?,Golgi apparatus.
Which organelle provides the majority of cellular energy by producing adenosine triphosphate (ATP)?,Mitochondria.
What are the shelf-like folds of the inner mitochondrial membrane called?,Cristae.
"In addition to ATP production, mitochondria store dense granules containing which ion?",Ca^{2+}.
Which small organelles contain oxidative enzymes like catalase to degrade H_{2}O_{2}?,Peroxisomes.
Microtubules are nonbranching hollow tubes composed of equal parts of _____ and _____.,\alpha-tubulin and \beta-tubulin.
The property of microtubules continuously elongating and shortening is known as _____.,Dynamic instability.
Which cytoskeletal elements are flexible chains of molecules that provide the core for microvilli?,Actin filaments (microfilaments).
Which ropelike cytoskeletal fibers provide tensile strength and resistance to shearing forces?,Intermediate filaments.
What is the name of the region from which microtubules grow toward the cell periphery?,Microtubule-organizing center (MTOC) or centrosome.
"The minus (-) end of a microtubule is attached to the MTOC, while the _____ end is the growing end.",Plus (+) end.
Term: Centrioles,Definition: Paired cylindrical structures that provide basal bodies for cilia and help position the mitotic spindle.
Which organelles are essential for protein synthesis and consist of rRNA and proteins?,Ribosomes.
"What term describes nonmoving, nonliving cytoplasmic products of metabolic activity, such as pigment granules or glycogen?",Inclusions.
"Which ""wear-and-tear"" pigment accumulates in lysosomes as an indicator of cellular stress or age?",Lipofuscin.
What iron-storage complex is found in the cytoplasm and is related to the phagocytosis of red blood cells?,Hemosiderin.
Which highly branched polymer is used by liver and muscle cells for glucose storage?,Glycogen.
Why do lipid inclusions appear as empty holes in routine H&E histological sections?,The lipids are extracted by organic solvents during tissue preparation.
The structural network of thin microtrabecular strands revealed by high-voltage EM in the cytosol is called the _____.,Microtrabecular network.
What dynamic protrusions of the plasma membrane form when it detaches from underlying actin filaments during cell injury?,Plasma-membrane blebs.
Which pathology is a prominent feature of alcoholic liver cirrhosis and consists of keratin intermediate filament inclusions?,Mallory bodies.
What are the two major families of integral membrane proteins in erythrocytes that express blood group antigens?,Glycophorins and band 3 proteins.
Which cytoskeletal protein forms the hexagonal lattice network on the inner surface of the erythrocyte membrane?,Spectrin.
"In platelets, which zone is responsible for maintaining the disc shape through a bundle of microtubules?",The structural zone.
Which mitochondrial compartment contains the organelle's own DNA and ribosomes?,The matrix.
What clinical condition is caused by a genetic defect in peroxisomal enzymes?,Zellweger’s syndrome.
"In hepatocytes, glycogen can be identified as irregular magenta masses using which specific stain?",Toluidine blue (metachromatic staining).
"What is the localized accumulation of Golgi membranes, ER, and mitochondria in the ooplasm of human oocytes called?",Balbiani body.
Annulate lamellae in oocytes are stacks of membranes that contain structures morphologically identical to _____.,Nuclear pores.
"Which organelles are identified as ""colloidal resorption droplets"" in the apical cytoplasm of thyroid follicle cells?",Endocytotic vesicles.
What is the current model of the molecular organization of the plasma membrane called?,Modified fluid–mosaic model.
Which nonmembranous structures are the derivatives of centrioles and give rise to cilia?,Basal bodies.
Proteins destined for degradation in lysosomes are sorted within early endosomes and packaged into _____.,Multivesicular bodies (MVBs).
Which category of diseases is caused by genetic defects in the enzymes involved in lipid metabolism?,Lipid storage diseases.
