What property defines a chiral molecule or complex?,It is not able to be superimposed on its own mirror image.
What is the term for a carbon atom that is bonded to four different substituents?,Asymmetric center (or chiral center).
"The property of chirality is derived from the Greek word 'cheir', which means _____.",Hand
What is the specific name for stereoisomers that are non-superimposable mirror images of each other?,Enantiomers
Why is the amino acid glycine considered achiral?,"It has two hydrogen atoms attached to its \alpha-carbon, making it superimposable on its mirror image."
What device is used to measure the optical rotation of a substance?,Polarimeter
What is a 'racemic mixture'?,A mixture containing equal proportions of two enantiomers.
"According to the 2^n rule, how many stereoisomers are possible for a molecule with n chiral centers?",2^n
What distinguishes structural isomers from geometrical isomers?,"Structural isomers have atoms linked to different neighbors, whereas geometrical isomers have the same links but different spatial arrangements."
"If a chiral molecule rotates the plane of polarized light clockwise, it is termed _____.",Dextrorotatory
What is the term for a chiral molecule that rotates the plane of polarization in a counter-clockwise direction?,Levorotatory
"In the context of thermodynamics, how does positional disorder in isomers affect residual molar entropy?",Statistical disorder in the positions of atoms increases the residual molar entropy of the crystal.
Which isomer of an octahedral complex MX_2Y_4 would generally be expected to have higher residual entropy: cis or trans?,"The cis isomer, due to having more possible disordered orientations in the crystal lattice."
What convention is commonly used to represent the three-dimensional structures of chiral monosaccharides on a two-dimensional surface?,Fischer projection
What is the significance of the RS system in organic chemistry?,It provides a nomenclature for unambiguously specifying the absolute configuration of a chiral center.
"In biochemistry, why is the 'fit' between a substrate and an enzyme described as stereospecific?",Because the three-dimensional structures of the molecules must be complementary for the interaction to occur.
What tragic historical example illustrates the different biological effects of two enantiomers of a drug?,"Thalidomide, where one enantiomer was a sedative and the other caused birth defects."
"In molecular conformations, a torsion angle of 60^{\circ} or 180^{\circ} typically corresponds to a _____ conformation.",Staggered
At what torsion angles does the energy of a molecule like ethane reach its maximum?,At 0^{\circ} and 120^{\circ} (fully eclipsed conformations).
Why can eclipsed and staggered forms of a molecule usually not be separately isolated at room temperature?,The energy differences are small enough to allow rapid interconversion millions of times per second.
True or False: Enantiomers have identical chemical properties when reacting with achiral reagents.,True
What physical property differs between two pure enantiomers?,The direction in which they rotate plane-polarized light.
An organic compound with the formula C_6H_{14} that yields only two structural isomers upon chlorination is likely _____.,"2,3-dimethylbutane"
Is 2-butanol a structural isomer of methyl propyl ether?,Yes
Which specific atom in Ibuprofen is the chiral center?,"The carbon atom in the propionic acid side chain that is bonded to the methyl, carboxyl, hydrogen, and isobutylphenyl groups."
