Which subatomic particle was first discovered by J.J. Thomson in 1897 using cathode rays?,The electron.
"According to the nuclear model, where is almost all of an atom's mass concentrated?",In the nucleus.
What experiment led Ernest Rutherford to propose that atoms consist mostly of empty space?,The gold foil (alpha-particle scattering) experiment.
The number of protons in the nucleus of an atom is defined as the _____.,Atomic number (Z)
Term: Isotopes,Definition: Atoms of the same element that have the same number of protons but different numbers of neutrons.
What is the collective term used to describe both protons and neutrons located in the nucleus?,Nucleons.
How is the mass number (A) of an atom calculated?,By summing the number of protons and neutrons in the nucleus.
What is the relative electrical charge of a neutron?,0 (neutral).
What is the relative electrical charge of an electron?,-1.
Which subatomic particle was experimentally proven to exist by James Chadwick in 1932?,The neutron.
"In the isotopic notation ^{A}_{Z}X, what does the variable A represent?",The mass number.
"In the isotopic notation ^{A}_{Z}X, what does the variable Z represent?",The atomic number.
How does an atom transform into a cation?,By losing one or more electrons.
How does an atom transform into an anion?,By gaining one or more electrons.
What is the specific name of the hydrogen isotope that contains one proton and zero neutrons?,Protium.
What is the specific name of the hydrogen isotope that contains one proton and one neutron?,Deuterium.
What is the specific name of the hydrogen isotope that contains one proton and two neutrons?,Tritium.
Why are the atomic masses listed on the periodic table usually not whole numbers?,They are a weighted average of the masses of all naturally occurring isotopes.
One atomic mass unit (amu) is defined as exactly _____ the mass of a carbon-12 atom.,\frac{1}{12}
"Which subatomic particle has the smallest relative mass, approximately \frac{1}{1837} the mass of a proton?",The electron.
Which historical model described the atom as a sphere of positive charge with electrons embedded like raisins in a pudding?,Thomson's plum pudding model.
"In a neutral atom, the number of electrons must be equal to the _____.",Atomic number (or number of protons).
How is the number of neutrons in an atom determined from its notation?,Subtract the atomic number (Z) from the mass number (A).
What was John Dalton's conceptualization of an atom in his early atomic theory?,A featureless sphere (similar to a billiard ball).
Calculate the number of neutrons in an atom of ^{238}_{92}U.,146 neutrons.
"How many protons, neutrons, and electrons are in a neutral atom of ^{31}_{15}P?","15 protons, 16 neutrons, and 15 electrons."
Identify the isotope that has 77 protons and 117 neutrons.,Iridium-194 (^{194}Ir).
The general term for a specific isotope of any element is a(n) _____.,Nuclide.
What is the mass number of an isotope containing 26 protons and 30 neutrons?,56.
What is the relative charge of an alpha particle?,+2.
How do the chemical properties of isotopes of the same element compare?,They are nearly identical because they have the same number of protons and electrons.
Which instrument is used to make precise determinations of individual atomic masses?,A mass spectrometer.
What is the total number of protons and electrons in a Ca^{2+} ion (Z=20)?,20 protons and 18 electrons.
How many nucleons are present in an atom of ^{134}_{54}Xe?,134.
An isotope with an unstable nucleus that spontaneously emits radiation is called a(n) _____.,Radionuclide (or radioisotope).
"According to the Law of Definite Composition, a specific compound always contains elements in the same _____.",Proportions by mass.
What defines the identity of an element?,The number of protons (atomic number).
Which subatomic particles are found within the nucleus?,Protons and neutrons.
Formula: ^{1}_{0}n,Name: Neutron.
Formula: _{-1}^{0}e,Name: Electron (or Beta particle).
What percentage of a Carbon-12 atom's mass is defined as 1 amu?,Exactly 8.33\% (which is \frac{1}{12}).
"In the plum pudding model, what represented the 'pudding'?",A uniform sphere of positive electrification.
Which scientist discovered radioactivity by observing the darkening of photographic plates by uranium compounds?,Henri Becquerel.
"If an atom has 35 protons and 45 neutrons, what is its mass number?",80.
Identify the number of electrons in a Cl^{-} ion (Z=17).,18.
Which two subatomic particles have approximately the same mass (about 1 amu each)?,Protons and neutrons.
What is the charge of an ion with 13 protons and 10 electrons?,+3.
The standard reference isotope for the modern atomic mass scale is _____.,Carbon-12 (^{12}C).
How did Rutherford interpret the fact that a few alpha particles bounced back from the gold foil?,"They hit a small, dense, positively charged center (the nucleus)."
What is the atomic number of an element containing 92 protons?,92.
"In isotopic notation, where is the mass number written relative to the element symbol?",As a superscript to the left.
"In isotopic notation, where is the atomic number written relative to the element symbol?",As a subscript to the left.
What is the mass of an electron in grams (to three decimal places)?,9.110 \times 10^{-28} g.
What is the actual mass of a proton in grams?,1.673 \times 10^{-24} g.
What is the actual mass of a neutron in grams?,1.675 \times 10^{-24} g.
Which subatomic particle exists outside the nucleus in the 'electron region'?,The electron.
Concept: Radioactivity,Definition: The spontaneous emission of radiation by an atom's nucleus.
How many neutrons are in an atom of Tritium (^{3}H)?,2.
"If an isotope of oxygen has a mass number of 18, how many neutrons does it contain (Z=8)?",10.
What subatomic particle's existence explains why different atoms of the same element can have different masses?,The neutron.
What is the charge of a P^{3-} ion (Z=15)?,-3.
The sum of protons and neutrons in a nucleus is specifically termed the _____.,Mass number.
"In the context of atomic structure, what does 'Z' denote?",Atomic number (number of protons).
Which subatomic particle provides the necessary 'neutral' mass to account for an atom's total weight beyond its protons?,The neutron.
Name the stable isotopes of carbon mentioned in the text.,Carbon-12 and Carbon-13.
