Which state of matter is characterized by atoms packed closely together that oscillate but cannot move past one another?,Solid state
How do the molecules in a liquid differ from those in a solid regarding movement?,"Molecules in a liquid have enough energy to move past one another, allowing the substance to flow."
In which state of matter do molecules fly through empty space at speeds close to the speed of sound?,Gas state
What is the term for a form of matter that is uniform throughout in both chemical composition and physical state?,Phase
Term: Condensed phases,Definition: The collective name for the solid and liquid phases of matter.
How is a crystalline solid distinguished from an amorphous solid based on internal structure?,"Crystalline solids have long-range order in an orderly array, while amorphous solids have a random jumble of particles."
"What are the flat, well-defined planar surfaces on the exterior of a crystalline solid called?",Crystal faces
Term: Short-range order,"Definition: Localized ordering of molecules that does not extend very far past nearest neighbors, typical of liquids."
Which type of solid consists of discrete molecules held together by intermolecular forces?,Molecular solid
What type of bonding characterizes network solids?,Strong covalent bonds that form a framework extending throughout the entire crystal.
How are the particles in a metallic solid held together?,Cations are held together by a 'sea' of delocalized electrons.
What interaction provides the primary bonding force in ionic solids?,The mutual attraction between cations and anions (Coulomb interaction).
Why do network solids generally have very high melting points?,Melting requires breaking strong covalent bonds that extend throughout the framework.
What physical property describes the tendency of ionic solids to shatter into fragments when struck?,Brittleness
Why does striking an ionic solid lead to its fragmentation?,"External force causes ions of like charges to shift and come into contact, leading to strong repulsion."
How does the size of ions in an ionic solid typically affect its lattice energy?,Smaller ions result in larger lattice energy and stronger interactions.
Which type of crystalline solid is usually malleable and ductile?,Metallic solid
Term: Allotropes,"Definition: Different forms of the same element that vary in how their atoms are linked (e.g., diamond and graphite)."
What is the hybridization of carbon atoms in a diamond crystal?,sp^3
How is the structure of graphite described in terms of atomic layers?,Graphite consists of flat sheets of sp^2 hybridized carbon atoms bonded into hexagons.
Why is quartz classified as a network solid while dry ice (CO_2) is a molecular solid?,"Quartz (SiO_2) atoms are covalently linked throughout the crystal, whereas CO_2 exists as individual molecules."
What are the gaps or spaces between atoms in a close-packed metallic structure called?,Interstices (or holes)
Term: Mesophase,Definition: An intermediate state of matter with the fluidity of a liquid and some molecular order of a solid.
How are liquid crystals responsive to technology?,"They are responsive to changes in temperature and electric fields, making them useful for electronic displays."
Term: Anisotropic,Definition: Materials that have physical properties (like viscosity) which depend on the direction of measurement.
What is the definition of an isotropic substance?,A substance with properties that are identical in every direction of measurement.
Which structural feature prevents ionic liquids from crystallizing at ordinary temperatures?,"The presence of a large, bulky organic ion that hinders regular packing."
Why are ionic liquids considered desirable solvents in green chemistry?,"They have very low vapor pressures, which reduces the release of hazardous fumes."
