What is the hybridization of carbon atoms in saturated hydrocarbons (alkanes)?,sp^3
What is the characteristic molecular geometry of an sp^3 hybridized carbon atom?,Tetrahedral
What is the ideal bond angle between sp^3 hybrid orbitals?,109.5^\circ
How many hybrid orbitals are formed in sp^3 hybridization?,Four
Which atomic orbitals are mixed to create sp^3 hybrid orbitals?,One 2s orbital and three 2p orbitals
What is the hybridization of carbon atoms involved in a carbon-carbon double bond in alkenes?,sp^2
What molecular geometry is associated with an sp^2 hybridized carbon atom?,Trigonal planar
What is the ideal bond angle for carbon atoms in an sp^2 hybridization state?,120^\circ
How many p orbitals remain unhybridized on a carbon atom with sp^2 hybridization?,One
What type of bond is formed by the side-by-side overlap of unhybridized p orbitals?,A \pi (pi) bond
What is the hybridization of carbon atoms involved in a carbon-carbon triple bond in alkynes?,sp
What is the molecular geometry of an sp hybridized carbon atom?,Linear
What is the bond angle between sp hybrid orbitals?,180^\circ
How many \pi bonds are present in a carbon-carbon triple bond?,Two
"In ethyne (C_2H_2), what is the hybridization state of each carbon atom?",sp
A single bond between two carbon atoms consists of exactly one _____ bond.,\sigma (sigma)
A double bond between two carbon atoms consists of one \sigma bond and one _____ bond.,\pi (pi)
A triple bond between two carbon atoms consists of one \sigma bond and _____ \pi bonds.,Two
What is the hybridization of the carbon atoms in the benzene ring (C_6H_6)?,sp^2
What percentage of s-character is present in an sp hybrid orbital?,50\%
What percentage of s-character is present in an sp^2 hybrid orbital?,33.3\%
What percentage of s-character is present in an sp^3 hybrid orbital?,25\%
How does the bond angle change as the s-character of a hybrid orbital increases?,The bond angle increases
What is the hybridization of the central carbon atom in propadiene (H_2C=C=CH_2)?,sp
What is the hybridization of the terminal carbon atoms in propadiene (H_2C=C=CH_2)?,sp^2
"In the molecule ethene, the unhybridized p orbitals are oriented _____ to the plane of the \sigma bonds.",Perpendicular
Which type of orbital overlap occurs along the internuclear axis to form a \sigma bond?,Head-to-head overlap
Which atomic orbital of hydrogen overlaps with a carbon hybrid orbital to form a C-H bond?,The 1s orbital
What is the hybridization of carbon in the methyl group (-CH_3) of propene?,sp^3
What is the hybridization of the carbon atom in a carbocation (CH_3^+)?,sp^2
What is the hybridization of the carbon atom in a carbanion (CH_3^-)?,sp^3
What carbon-carbon bond angles are theoretically expected for the sp^3 hybridized atoms in cyclopropane?,109.5^\circ (though the actual angle is constrained to 60^\circ)
"In the molecule ethyne, how many unhybridized 2p orbitals are on each carbon atom?",Two
Which hybridization state results in the shortest carbon-carbon bond length?,sp (found in triple bonds)
What type of hybridization is found in carbon atoms that form four single bonds?,sp^3
"In propene (CH_3CH=CH_2), which carbon atom(s) exhibit sp^2 hybridization?",The two atoms involved in the double bond
How many sp^2 hybrid orbitals are produced when mixing one s and two p orbitals?,Three
How many sp hybrid orbitals are produced when mixing one s and one p orbital?,Two
What type of bonds prevent rotation around the carbon-carbon axis in alkenes?,\pi (pi) bonds
What is the hybridization of carbon in Diamond?,sp^3
What is the hybridization of carbon in Graphite?,sp^2
What is the geometry of the sp hybrid orbitals relative to each other?,They point away from each other at 180^\circ
Which orbital is NOT involved in the sp^2 hybridization of a carbon atom?,One of the 2p orbitals (usually designated 2p_z)
The mixing of atomic orbitals on the same atom to form new orbitals is known as _____.,Hybridization
"In a triple bond, the two \pi bonds are oriented _____ to each other.",Perpendicular
What is the hybridization of the carbons in cyclohexane (C_6H_{12})?,sp^3
How many \sigma bonds does an sp^3 hybridized carbon form in an alkane?,Four
"In ethyne, the electron density of the two \pi bonds forms a _____ around the C-C axis.",Cylinder
Which hybridization state allows for the greatest degree of s-orbital character?,sp
What is the hybridization of each carbon in 2-butyne (CH_3C\equiv CCH_3)?,The methyl carbons are sp^3; the triple-bonded carbons are sp
The bond angles in sp^2 hybridized benzene are exactly _____.,120^\circ
Hybridization theory was developed to explain molecular structures that _____ theory could not adequately describe.,Lewis
Which hybrid orbital type has the most 'directional' character toward the corners of a cube's alternate corners?,sp^3
A carbon atom with three \sigma bonds and one \pi bond is _____ hybridized.,sp^2
A carbon atom with two \sigma bonds and two \pi bonds is _____ hybridized.,sp
What is the relationship between bond strength and the amount of s-character in a hybrid orbital?,Bonds become stronger as s-character increases
"In the VSEPR model, four electron pairs on a central carbon lead to _____ hybridization.",sp^3
"In the VSEPR model, three electron groups on a central carbon lead to _____ hybridization.",sp^2
How many sp^3 hybrid orbitals are needed to form the framework of ethane (C_2H_6)?,Eight (four from each carbon)
The side-by-side overlap in \pi bonds is generally _____ than the head-to-head overlap in \sigma bonds.,Weaker
