What functional property is the primary basis for the categorization of muscle tissue?,The ability of its cells to contract.
Which two contractile proteins are found in large amounts in the cytoplasm of muscle cells?,Actin and myosin.
How are muscle cells typically arranged within a tissue to effect efficient movement?,They are aggregated into bundles and oriented with their long axes in the same direction.
What are the two principal types of muscle recognized based on the appearance of contractile cells?,Striated muscle and smooth muscle.
Which type of striated muscle is attached to bone and responsible for skeletal movement?,Skeletal muscle.
What is the specific location restricted to visceral striated muscle?,"Soft tissues including the tongue, pharynx, lumbar diaphragm, and upper esophagus."
Where is cardiac muscle primarily located?,In the wall of the heart and the base of the large veins emptying into the heart.
What architectural arrangement produces the cross-striations seen in striated muscle?,The specific cytoarchitectural arrangement of thin and thick myofilaments.
Why do smooth muscle cells lack cross-striations?,The myofilaments do not achieve a high degree of ordered arrangement.
What developmental term describes a skeletal muscle fiber formed by the fusion of multiple myoblasts?,Multinucleated syncytium.
What is the typical diameter range of a mature skeletal muscle fiber?,10 to 100 \mu m.
Where are the nuclei of a skeletal muscle fiber specifically located?,Immediately beneath the sarcolemma (plasma membrane).
"In histology, the term _____ refers to the plasma membrane of the muscle cell, its external lamina, and the surrounding reticular lamina.",Sarcolemma
Which layer of dense connective tissue surrounds the entire muscle?,Epimysium.
Which connective tissue layer surrounds a bundle of muscle fibers called a fascicle?,Perimysium.
Which delicate connective tissue layer surrounds individual muscle fibers?,Endomysium.
What is the primary difference between skeletal muscle fibers and connective tissue fibers?,"Muscle fibers are cells, while connective tissue fibers are extracellular products."
"Skeletal muscle fibers can be identified in vivo as red, white, or _____.",Intermediate
Which histochemical reaction is used to confirm muscle fiber types based on oxidative enzyme activity?,Succinic dehydrogenase (or NADH-TR).
What is the basic repeating unit of a myofibril between adjacent Z lines?,Sarcomere.
From which embryonic germ layer are almost all connective and muscle tissues derived?,Mesoderm.
Primitive connective tissue established in the early embryo is referred to as _____.,Mesenchyme
Expression of which transcription factor is essential for activating muscle-specific gene expression in skeletal lineages?,MyoD.
What is the function of the 26 kDa protein known as myostatin?,It exerts an inhibitory effect on muscle growth and differentiation.
Which skeletal muscle developmental stage is characterized by a chain of multiple central nuclei surrounded by myofilaments?,Primary myotubes.
How do secondary myotubes differ from primary myotubes in appearance?,They have a smaller diameter and more widely spaced nuclei.
What happens to the location of nuclei as myotubes differentiate into mature skeletal muscle fibers?,The nuclei move from a central position to the cell periphery.
Which specialized attachment sites are a diagnostic feature of cardiac muscle tissue?,Intercalated discs.
"Unlike skeletal muscle fibers, cardiac muscle fibers consist of many individual cells arranged _____.",End to end
Where is the nucleus typically located within a cardiac muscle cell?,In the center of the cell.
Which region of the heart contains concentrated atrial granules containing ANF and BNF?,The atria of the heart.
What are the physiological effects of Atrial Natriuretic Factor (ANF)?,"It acts as a diuretic, inhibits renin and aldosterone secretion, and inhibits vascular smooth muscle contraction."
The _____ component of an intercalated disc crosses the fibers at a right angle to the myofibrils.,Transverse
The _____ component of an intercalated disc lies parallel to the myofibrils.,Lateral
Which junctional complex is the major constituent of the transverse component of the intercalated disc?,Fascia adherens.
In which component of the intercalated disc are gap junctions exclusively found?,The lateral component.
What structure holds cardiac muscle cells at their ends and serves as the anchor for thin filaments?,Fascia adherens.
"In cardiac muscle, where are the T tubules located relative to the sarcomere?",At the level of the Z disc.
What is the term for the association of a T tubule with a single terminal cisterna in cardiac muscle?,Diad.
Which muscle type is composed of elongated fusiform cells with tapered ends and no striations?,Smooth muscle.
Smooth muscle cells are interconnected by _____ for coordinated contraction.,Gap junctions (nexus)
Where is the nucleus located in a smooth muscle cell?,In the center of the cell.
What shape does a smooth muscle nucleus often take in longitudinal section during contraction?,A corkscrew appearance.
Which intermediate filaments comprise the cytoskeleton of smooth muscle cells?,Desmin and vimentin.
What is the primary role of caveolae in smooth muscle cells?,They function as a system to deliver Ca^{2+} to the cytoplasm.
Smooth muscle is specialized for _____ and prolonged contraction.,Slow
"Beyond contraction, what is a major secretory function of smooth muscle cells?","Synthesizing connective tissue matrix (collagen, elastin, proteoglycans)."
Which types of collagen are typically synthesized by smooth muscle cells?,Type III and Type IV collagen (and Type I in specific locations).
"Unlike skeletal and cardiac muscle, smooth muscle cells maintain the ability to _____ to increase their number.",Divide (undergo mitosis)
From which specific cells in blood vessel adventitia can new smooth muscle cells differentiate?,Mesenchymal stem cells.
What transcription factor family member regulates most smooth muscle differentiation marker genes?,Serum response factor (SRF).
Where are the T tubules located in skeletal muscle fibers?,At the A-I junction.
A skeletal muscle triad consists of one T tubule and two _____.,Terminal cisternae
Which type of muscle tissue exhibits voluntary somatic innervation?,Skeletal muscle.
Cardiac and smooth muscle are both innervated by the _____ nervous system.,Autonomic
"What are the large, specialized conducting cells found in the ventricles of the heart?",Purkinje fibers.
How do Purkinje fibers differ histologically from standard cardiac myocytes?,They are larger and have myofibrils located mostly at the periphery.
The high glycogen content in Purkinje fibers causes the central cytoplasm to appear _____ in H&E stains.,Pale or unstained
Which embryonic structure gives rise to the striated muscles of the trunk and limbs?,Somites (segmented paraxial mesoderm).
Which part of the myotome gives rise to the deep muscles of the back (epaxial muscles)?,Epimere.
Which part of the myotome forms the lateral and ventral body wall muscles (hypaxial muscles)?,Hypomere.
The erector spinae and transversospinalis muscle groups are derived from the _____.,Epimere
Which transcription factor is required for the migration of muscle progenitors into the limb buds?,Pax3.
What genes are required for the terminal differentiation of myocytes during development?,"Myogenin, MyoD, and Myf6."
Which myogenic regulatory factors (MRFs) induce the commitment of cells to the myoblast lineage?,"Myf5, Myf6, and MyoD."
What cells provide for postnatal muscle growth and repair in response to damage?,Satellite cells.
Satellite cells in the trunk and limbs originate from the _____.,Somites
The dorsal muscle mass of the limb bud primarily gives rise to which functional muscle groups?,"Extensors, supinators, and abductors."
The ventral muscle mass of the limb bud primarily gives rise to which functional muscle groups?,"Flexors, pronators, and adductors."
Which type of myocytes are characterized by slow contraction and oxidative metabolism?,Slow myocytes (Type I fibers).
What characterizes 'fast' myocytes in terms of force and metabolism?,Rapid contraction with high force and glycolytic (anaerobic) metabolism.
What is the developmental significance of the Pax7 transcription factor?,It is required for the survival and maintenance of satellite cells.
Which signaling molecule from the notochord and floor plate helps regulate initial myogenic commitment?,Sonic hedgehog (Shh).
What factor from the dermamyotome blocks the repressive action of BMPs to allow Myf5 expression?,Noggin.
The intrinsic and extrinsic muscles of the tongue are formed from myoblasts that migrate from _____ somites.,Occipital
