Name the four primary components of the nucleus in an interphase cell.,"Chromatin, nucleolus, nuclear envelope, and nucleoplasm."
Which nuclear component consists of DNA associated with nuclear proteins like histones?,Chromatin.
Term: Heterochromatin,"Definition: A highly condensed, transcriptionally inactive form of chromatin that stains intensely with basic dyes."
Term: Euchromatin,"Definition: A dispersed, transcriptionally active form of chromatin that appears as light areas in the nucleoplasm."
What chemical group in DNA is responsible for the characteristic basophilia of chromatin?,Phosphate groups.
Where is marginal chromatin typically located within the nucleus?,"At the periphery of the nucleus, adjacent to the nuclear envelope."
Describe the appearance and location of karyosomes.,Discrete bodies of irregular chromatin found throughout the nucleus.
Which specific histochemical procedure is used to identify the deoxyribose of DNA?,The Feulgen procedure.
What is the smallest macromolecular unit of chromatin structure?,The nucleosome.
A nucleosome core consists of an octamer of eight _____ molecules.,Histone
Approximately how many nucleotide pairs of DNA wrap around a single nucleosome core?,146 nucleotide pairs.
What visual description is commonly used for the 10-nm-diameter nucleosomal substructure seen in TEM?,Beads on a string.
How many chromosomes are contained in a standard human somatic cell?,46 chromosomes.
Each chromosome consists of two _____ joined at the centromere.,Chromatids
What is the clinical significance of the Barr body in fetal diagnostics?,It is used to identify the sex of the fetus.
In which cell type does the Barr body appear as a drumstick-shaped appendage on a nuclear lobe?,Neutrophils.
Identify the primary site of ribosomal RNA (rRNA) synthesis and assembly in the nucleus.,The nucleolus.
The network formed by the fibrillar and granular materials of the nucleolus is called the _____.,Nucleolonema
Which region of the nucleolus contains transcriptionally active rRNA genes?,Fibrillar centers.
What is the functional role of the granular material in the nucleolus?,Initial ribosomal assembly.
The nuclear envelope consists of an inner and outer membrane separated by the _____ space.,Perinuclear cisternal
With which organelle is the outer membrane of the nuclear envelope often continuous?,Rough-surfaced endoplasmic reticulum (rER).
What is the function of the nuclear pore complexes (NPCs)?,Mediating active bidirectional transport of molecules between the nucleus and cytoplasm.
A sequence of amino acids required for a large protein to enter the nucleus is called the _____.,Nuclear localization signal (NLS)
Identify the soluble cytosolic receptor that binds to NLS-tagged proteins to facilitate nuclear entry.,Importin (nuclear import receptor).
Proteins destined for export from the nucleus must possess a _____ sequence.,Nuclear export (NES)
Nuclear transport through pores is a process dependent on energy from _____.,GTP
"Identify the thin, intermediate filament network located beneath the inner nuclear membrane.",The nuclear lamina.
What specific class of intermediate filaments constitutes the nuclear lamina?,Lamins.
Which enzymatic process triggers the disassembly of the nuclear envelope during prophase?,Phosphorylation of nuclear lamins.
Term: Nucleoplasm,"Definition: The amorphous material enclosed by the nuclear envelope, excluding the chromatin and nucleolus."
Which nuclear alteration in dying cells is characterized by the disappearance of the nucleus due to DNA dissolution?,Karyolysis.
Which nuclear alteration involves chromatin condensation leading to the shrinkage of the nucleus?,Pyknosis.
Term: Karyorrhexis,"Definition: The fragmentation of the cell nucleus, usually preceded by pyknosis."
Which organelle is the largest within a typical eukaryotic cell?,The nucleus.
"In some species, the Sertoli cell nucleus contains a tripartite structure consisting of a nucleolus and two _____.",Karyosomes
Why do plasma cell nuclei exhibit a characteristic 'cartwheel' or 'clock-face' chromatin pattern?,Large clumps of peripheral heterochromatin alternate with clear areas of euchromatin.
Which cell type in the bone marrow grows via endomitosis and is characteristically polyploid?,Megakaryocyte.
What is the typical ploidy range of a human megakaryocyte?,8n to 64n.
The mature gametes (sperm and egg) are described as having a _____ chromosome number.,Haploid (1n)
What structures within the nucleus serve as attachment points for mitotic spindle microtubules?,Kinetochores.
The male and female genetic complements within a zygote before fusion are called _____.,Pronuclei
From which parent is the centrosome required for building the first mitotic spindle of the zygote inherited?,The father (via the sperm).
Which nuclear component contains the machinery for DNA replication and RNA transcription?,The nucleus.
Which protein complex joins two sister chromatids together at a specific point on a chromosome?,The centromere.
How does the staining of euchromatin differ from heterochromatin in light microscopy?,Euchromatin is not evident in light microscopy and appears as 'clear' areas.
"Cells that produce one major product, such as plasma cells, tend to have a predominance of _____.",Heterochromatin
Metabolically active cells like neurons typically possess a large amount of _____.,Euchromatin
What are NBBCs (nucleus–basal body connectors) composed of?,Contractile proteins.
Mutations in lamins or lamin receptors are associated with which hereditary muscular disorder?,Emery-Dreifuss muscular dystrophy (EDMD).
The cytoplasmic side of the nuclear pore complex is characterized by eight protein _____.,Fibrils
The nuclear face of the NPC contains a structure referred to as the nuclear _____.,Basket
"In terms of nuclear well-being, evaluation of nuclear _____, _____, and _____ is vital for tumor diagnosis.","Size, shape, and structure."
Which nucleolar region consists of the protein nucleostemin and assembly-stage ribosomal subunits?,The granular material.
Which protein provides the template for microtubule triplet nucleation within the centriole lumen?,\gamma-tubulin.
What technique is used to analyze ploidy by measuring the absorption of light at 560-nm wavelength?,Feulgen microspectrophotometry.
Name the specific histone complex around which two loops of DNA wrap.,Octamer core.
Which meiotic phase involves the condensation of chromatin into homologous chromosome pairs called bivalents?,Prophase I (Zygotene/Pachytene stages).
"The repressed X chromosome in females, known as the Barr body, is an example of facultative _____.",Heterochromatin
Identify the protein found in the distal part of the centriole lumen.,Centrin.
Static cytometry and flow cytometry are techniques primarily used to quantify _____.,Nuclear DNA.
Which nuclear structure is often continuous with the perinuclear cisternal space?,The lumen of the rough endoplasmic reticulum.
The 'drumstick' appendage in a female neutrophil's nucleus is composed of _____.,Condensed chromatin (Barr body).
Which specific histone proteins constitute the core octamer of a nucleosome?,"H2A, H2B, H3, and H4 (two of each)."
How does the nuclear lamina change to allow for nuclear envelope disassembly during mitosis?,"The lamins are phosphorylated by kinases, making them soluble."
