What is the general formula for a carboxylic acid?,R-COOH
What is the general formula for an ester?,R-COOR'
The systematic suffix used to name a carboxylic acid is _____.,-oic acid
The systematic suffix for the portion of an ester name derived from the parent acid is _____.,-oate
Why do carboxylic acids exhibit higher boiling points than alcohols of similar molar mass?,"They can form stable, hydrogen-bonded dimers using two hydrogen bonds per pair of molecules."
How does the acidity of a carboxylic acid compare to that of an alcohol?,Carboxylic acids are much stronger acids because their conjugate bases are stabilized by resonance.
Term: Carboxylate ion,"Definition: The deprotonated conjugate base of a carboxylic acid, symbolized as RCO_{2}^{-}."
"In a carboxylate ion, why are the two carbon-oxygen bonds equivalent in length?",The negative charge is delocalized over both oxygen atoms through resonance.
How does the addition of electronegative substituents (like chlorine) to the R group affect the pK_{a} of a carboxylic acid?,"It decreases the pK_{a}, making the acid stronger by withdrawing electron density from the carboxyl group."
"Between acetic acid (pK_{a} = 4.75) and trichloroacetic acid (pK_{a} = 0.52), which is the stronger acid?",Trichloroacetic acid.
Which two products are formed during a standard esterification reaction?,An ester and water.
The condensation reaction between a carboxylic acid and an alcohol is specifically called _____.,Esterification
Why is the formation of an ester from an acid and an alcohol classified as a condensation reaction?,"Two molecules join together with the elimination of a small molecule, such as water."
What is the systematic IUPAC name for formic acid (HCOOH)?,Methanoic acid
What is the systematic IUPAC name for acetic acid (CH_{3}COOH)?,Ethanoic acid
Concept: Fatty acid,"Definition: A long-chain carboxylic acid, often found in esterified form within lipids."
Why are long-chain fatty acids nearly insoluble in water despite possessing a polar carboxyl group?,The nonpolar hydrocarbon chain is large enough to dominate the molecule's physical properties over the polar head.
How does the presence of double bonds in a fatty acid chain affect its melting point?,It lowers the melting point by introducing kinks that prevent tight molecular packing.
"Naturally occurring fats and oils, known as triacylglycerols, are chemically classified as _____.",Esters
Term: Biological wax,Definition: An ester formed from a long-chain fatty acid and a long-chain alcohol.
Why are esters typically more volatile than carboxylic acids of similar molar mass?,Esters cannot form hydrogen bonds with each other because they lack a hydroxyl hydrogen.
"In the ester name 'ethyl acetate,' which portion is derived from the alcohol reactant?",Ethyl.
What symbol is commonly used to represent the ester functional group linkage in condensed formulas?,-COO- (or -CO_{2}-)
Why is the carbonyl carbon in a carboxyl group highly electrophilic?,"Two electronegative oxygen atoms withdraw electron density, leaving the carbon with a partial positive charge."
General formula for a thioester,R-CO-S-R'
Why do thioesters possess a higher free energy of hydrolysis compared to oxygen esters?,Thioesters have less resonance stabilization because orbital overlap between carbon and sulfur is poor.
The chemical process of breaking an ester down into an acid and an alcohol using water is called _____.,Hydrolysis
Term: Saponification,Definition: The base-catalyzed hydrolysis of fats (esters) to produce glycerol and fatty acid salts (soap).
What is the typical ionization state of a carboxylic acid group at physiological pH (around 7.4)?,"It is deprotonated, existing as a negatively charged carboxylate group."
Primary alcohols can be converted into carboxylic acids through the process of _____.,Oxidation
How do esters generally affect the sensory profile of fruits and flowers?,They are responsible for many of the characteristic pleasant and fragrant odors.
Which specific carboxylic acid provides the characteristic sourness of vinegar?,Acetic acid (ethanoic acid).
Concept: Decarboxylation,"Definition: A reaction in which a carboxyl group is removed from a molecule, releasing carbon dioxide (CO_{2})."
"In biochemistry, the Claisen condensation reaction involves the formation of a bond between two _____ atoms.",Carbon
Why are amino acids characterized as being polyfunctional?,They contain both a basic amino group and an acidic carboxylic acid group.
Functional group: Acid Anhydride,"Definition: A group formed by the condensation of two carboxylic acids, possessing the structure R-CO-O-CO-R."
How does the boiling point of an ester compare to an alcohol of the same molar mass?,The ester has a lower boiling point because its molecules cannot donate hydrogen bonds to each other.
What is the chemical formula for benzoic acid?,C_{6}H_{5}COOH
Why are thioesters more reactive toward nucleophilic attack than oxygen esters?,The lack of resonance stabilization makes the carbonyl carbon more electrophilic.
"The simplest carboxylic acid, found in ant venom, is _____ acid.",Formic (or methanoic)
Methyl methanoate is an ester synthesized from which specific acid and alcohol?,Methanoic acid and methanol.
Concept: Zwitterion,Definition: A molecule like an amino acid that carries both a positive and a negative charge at neutral pH.
"In a triacylglycerol, what type of linkage connects the fatty acids to the glycerol backbone?",Ester linkage.
Why is a carboxylate ion significantly more stable than an alkoxide ion (RO^{-})?,Resonance allows the negative charge to be shared between two oxygen atoms in the carboxylate ion.
"At pH 7, the amino group of an amino acid is protonated while the carboxyl group is _____.",Deprotonated (or ionized)
How does increasing the hydrocarbon chain length of a fatty acid affect its melting point?,It increases the melting point because longer chains have greater van der Waals interactions.
Why do saturated fats tend to be solids at room temperature compared to unsaturated oils?,The absence of double bonds allows the chains to pack together more tightly into a solid lattice.
Term: Polyester,Definition: A synthetic or natural polymer in which the monomers are joined by ester linkages.
Which carboxylic acid derivative is formed when a carboxylic acid reacts with an amine?,An amide.
"In the Fischer esterification mechanism, from which reactant is the -OH group removed to form water?",The carboxylic acid.
What is the systematic name for the ester formed from methanol and propanoic acid?,Methyl propanoate.
Aspirin is an organic molecule that contains both a carboxylic acid group and a(n) _____ group.,Ester
What is the most common carbon chain length for fatty acids in higher plants and animals?,C_{16} and C_{18}.
Are carboxylic acids generally considered strong or weak acids in aqueous solution?,Weak acids.
Why is propanoic acid a slightly weaker acid than acetic acid?,"The additional alkyl group is electron-donating, which destabilizes the conjugate base."
"In a thioester, orbital overlap is poor because it involves the 2p orbital of carbon and the _____ orbital of sulfur.",3p
Waxes on plant leaves are impermeable to water because they form a _____ layer.,Hydrophobic
A fatty acid that contains no carbon-carbon double bonds is described as _____.,Saturated
"When numbering a carbon chain containing a carboxyl group, which carbon is always assigned the number 1?",The carbonyl carbon of the carboxyl group.
Thioesters are often used in metabolism because they serve as 'activated' versions of _____ groups.,Acyl
