What is the primary structural arrangement of reticular fibers in loose connective tissue?,A mesh-like pattern or network.
Which specific type of collagen is found in reticular fibers?,Type III collagen.
"In embryonic development and wound healing, reticular fibers are gradually replaced by which stronger fiber type?",Type I collagen.
Which specialized cell type produces the collagen for reticular fibers in hemopoietic and lymphatic tissues?,The reticular cell.
How do reticular cells maintain a unique relationship to the fibers they produce?,They surround the fiber with their cytoplasm to isolate it from other tissue components.
Which lymphatic organ is unique for lacking reticular fibers in its parenchyma?,The thymus.
"On what basis are T lymphocytes, B lymphocytes, and NK cells characterized?",Function (not size or morphology).
Where do T lymphocytes undergo differentiation?,In the thymus.
What are the mammalian 'bursa-equivalent' organs where B lymphocytes were first recognized to differentiate?,Bone marrow and GALT.
Thrombocytes are anucleate cytoplasmic fragments derived from which large polyploid cells?,Megakaryocytes.
What is the approximate diameter of a circulating platelet?,2 to 3 \mu m.
What is the typical lifespan of a circulating platelet?,About 10 days.
Which organs are collectively referred to as the immune system?,"Diffuse lymphatic tissue, lymphatic nodules, lymph nodes, spleen, bone marrow, and thymus."
What is the largest lymphatic vessel in the human body?,The thoracic duct.
Which cells serve as the effector cells of the immune system's response to harmful substances?,Lymphocytes.
List three examples of supporting cells that interact with lymphocytes in the immune system.,"Macrophages, dendritic cells, and reticular cells."
"In the thymus, which specific cell type forms the structural meshwork instead of reticular cells?",Epithelioreticular cells.
T lymphocytes account for what percentage of circulating lymphocytes?,60\% to 80\%.
Which primary lymphatic organs are the sites of antigen-independent differentiation?,Bone marrow and the thymus.
In which structures do immunocompetent lymphocytes undergo antigen-dependent activation?,Secondary (peripheral) lymphatic organs.
What is the initial source of lymph fluid?,Fluid and substances removed from extracellular spaces by blind-ended lymphatic capillaries.
Where do lymphatic vessels ultimately empty their contents?,Into the bloodstream at the junction of the internal jugular and subclavian veins.
"What are the discrete, non-encapsulated concentrations of lymphocytes in mucous membranes called?",Lymphatic nodules (or follicles).
What does the presence of a germinal center in a lymphatic nodule indicate?,The nodule is a secondary nodule reacting to an antigen.
What is the 'mantle zone' or 'corona' of a lymphatic nodule?,An outer ring of small lymphocytes encircling the germinal center.
Which tonsils are located on either side of the pharynx between the palatopharyngeal and palatoglossal arches?,Palatine tonsils.
What are the invaginations of the surface epithelium in palatine tonsils called?,Tonsillar crypts.
Where specifically are Peyer’s patches located?,In the ileum (distal portion of the small intestine).
What are the three main supporting elements of a lymph node?,"The capsule, trabeculae, and reticular tissue."
Which part of the lymph node contains lymphatic nodules?,The superficial cortex.
What is the nickname for the deep cortex of a lymph node?,The thymus-dependent cortex.
Which specialized vessel in the deep cortex allows lymphocytes to migrate from the blood into the node?,High endothelial venule (HEV).
The medulla of a lymph node is composed of medullary sinuses and which tissue strands?,Medullary cords.
Where is the subcapsular (cortical) sinus of a lymph node located?,Immediately between the capsule and the cortical lymphocytes.
From which embryonic structure does the thymus develop?,The third branchial (oropharyngeal) pouch.
What term describes the process where thymic lymphatic tissue is replaced by adipose tissue with age?,Involution.
How do Type I epithelioreticular cells contribute to thymic function?,They form a barrier that separates the thymic parenchyma from connective tissue and blood vessels.
Which epithelioreticular cells in the thymic cortex express MHC I and MHC II for thymic education?,Type II and Type III epithelioreticular cells.
What are the 'PAS cells' found in the thymic cortex?,Macrophages with large lysosomes that stain positive with the periodic acid–Schiff reaction.
"What are Hassall’s corpuscles, and where are they found?",Concentric masses of Type VI epithelioreticular cells found in the thymic medulla.
Which molecules on a T-cell surface indicate the 'double-negative' stage of differentiation?,CD2 and CD7 (without CD4 or CD8).
What is 'positive selection' in thymic cell education?,Survival of lymphocytes that recognize self-MHC molecules and antigens.
Where does 'negative selection' occur during T-cell maturation?,In the thymic medulla.
What is the primary function of the blood-thymus barrier?,To protect developing lymphocytes from exposure to blood-borne antigens.
What is the largest lymphatic organ in the body?,The spleen.
Which splenic region is responsible for filtering and degrading red blood cells?,The red pulp.
What is the Periarterial Lymphatic Sheath (PALS)?,A thick accumulation of lymphocytes surrounding the central artery in the splenic white pulp.
The red pulp of the spleen is composed of splenic sinuses and which specific tissue?,Splenic cords (cords of Billroth).
"In humans, how does blood return from the splenic cords to the venous circulation?",Through 'open circulation' where blood percolates through the cords before entering the sinuses.
What are penicillar arterioles?,Straight arterioles in the splenic red pulp that branch from the central artery.
Which splenic cells retrieve iron from hemoglobin for recycling?,Splenic macrophages.
Into which pigment do splenic macrophages break down the heme portion of hemoglobin?,Bilirubin.
What is the 'marginal zone' of the spleen?,The area that separates the white pulp from the red pulp.
Which contractile cells in the splenic capsule and trabeculae help discharge stored blood?,Myofibroblasts.
Where are sheathed capillaries located?,"In the splenic red pulp, where arterial capillaries are surrounded by macrophages."
The thymic medulla stains lighter than the cortex because it contains more of which cell type?,Large lymphocytes (with more cytoplasm and pale-staining nuclei).
Which specific cytokines are thought to be produced by Hassall’s corpuscles for T-cell education?,IL-4 and IL-7.
How do Type VI epithelioreticular cells differ morphologically from other types in the thymus?,They are closely packed and concentrically arranged with flattened nuclei and keratohyalin granules.
What is the function of 'crosstalk' in the thymus?,The reciprocal influence between developing T cells and epithelioreticular cells on the organ's microarchitecture.
Which lymphatic structure is located in the oropharynx and lacks afferent lymphatic vessels?,The palatine tonsil.
