In which specific part of the uterine tube does fertilization of the ovum typically occur?,The distal portion of the ampulla.
What is the name for the individual cells resulting from the initial mitotic divisions of the zygote?,Blastomeres.
What term describes the embryo when it reaches the 12- to 16-cell stage around the third day after fertilization?,Morula.
Which protective layer still surrounds the morula as it enters the uterine cavity on the third day?,The zona pellucida.
The inner cell mass of the blastocyst is also known as the _____.,Embryoblast
Which part of the blastocyst eventually forms the fetal component of the placenta?,The trophoblast (outer cell mass).
At approximately how many days of development does the human blastocyst begin to invade the endometrium?,Fifth or sixth day.
"By day 14, the trophoblast has differentiated into which two distinct layers?",Syncytiotrophoblast and cytotrophoblast.
What is the primary mechanism for transporting the early embryo proximally through the mucosal folds of the oviduct?,Ciliary beating and peristaltic contractions of the muscularis layer.
The process of rapid mitotic divisions after fertilization that occurs without an increase in the embryo's overall size is called _____.,Cleavage
"Starting at the eight-cell stage, blastomeres maximize cell-to-cell contact and flatten in a process called _____.",Compaction
Which two transcription factors must be expressed to maintain the pluripotency of the inner cell mass?,Oct4 and nanog.
Which transcription factor is required in the forming trophoblast to downregulate the expression of Oct4 and nanog?,Cdx2 (or eomes).
Sox2 and Oct4 regulate the expression of which protein in the inner cell mass to facilitate trophoblast differentiation?,Fgf4.
Which cell adhesion molecule is deposited on lateral cell surfaces during the differentiation of the trophoblast into an epithelium?,E-cadherin.
What ion-exchange pump is basally polarized in trophoblast cells to facilitate the formation of the blastocyst cavity?,Na^{+}/K^{+} ATPase.
By what mechanism does water enter the morula to create the blastocoelic fluid?,Osmosis.
What is the name for the side of the blastocyst where the inner cell mass is located?,Embryonic pole.
"Before implantation can occur, the blastocyst must enzymatically bore a hole and squeeze out of the _____.",Zona pellucida
What is the name for the specialized secretory cells of the endometrial stroma that differentiate in response to the blastocyst?,Decidual cells.
"At the start of the second week, the embryoblast splits into which two layers?",The epiblast and the hypoblast.
The epiblast and hypoblast together form the _____ disc.,Bilaminar embryonic
Where does the amniotic cavity first develop in relation to the epiblast?,At the embryonic pole between the epiblast and the overlying trophoblast.
Which layer of the bilaminar disc is considered 'dorsal' in the primitive body axis?,The epiblast.
The first wave of migratory endodermal cells from the hypoblast forms which membrane?,Heuser's membrane (exocoelomic membrane).
Which cavity is formed when the extraembryonic mesoderm splits into two layers during the second week?,Chorionic cavity.
"What mnemonic is used to remember that many embryological structures (trophoblast, embryoblast, yolk sac) split into two during the second week?",The rule of twos.
Which tissue layer is the primary site of early hematopoiesis (blood formation) for the embryo?,Extraembryonic mesoderm of the yolk sac.
What digestive tract anomaly results if the yolk sac persists until birth?,Meckel's diverticulum.
Gastrulation begins on approximately day 15 with the formation of the _____.,Primitive streak
What are the three primary germ layers formed during gastrulation?,"Ectoderm, mesoderm, and endoderm."
Which expanded structure is found at the cranial end of the primitive streak?,The primitive node.
"During gastrulation, the first ingressing epiblast cells displace the hypoblast to form the _____.",Definitive endoderm
What cellular transformation must epiblast cells undergo to migrate through the primitive streak?,Epithelial-to-mesenchymal transformation (EMT).
"Once gastrulation is complete, the remaining cells of the epiblast are referred to as the _____.",Ectoderm
What longitudinal structure is formed by mesoderm extending cranially from the primitive node?,The notochordal process.
"Which condition is characterized by a severe reduction of caudal structures, often resulting in fused lower limbs?",Sirenomelia (mermaid syndrome).
Which model explains left-right symmetry based on the rotation of monocilia in the primitive node?,The nodal flow model.
"Which syndrome involves inverted laterality, immotile cilia, and mutations in DYNEIN genes?",Kartagener syndrome.
"According to the mechanosensory model, which ion flux is activated on the left side of the node to initiate left-right development?",Calcium flux.
The cranial extraembryonic endoderm in the mouse that patterns the head is known as the _____.,Anterior visceral endoderm (AVE)
What basic vertebrate body plan is created during the fourth week of development?,Tube-within-a-tube body plan.
What is the primary force responsible for embryonic folding during the fourth week?,Differential growth of various tissues (especially the disc and amnion vs. the yolk sac).
On what day does embryonic folding typically commence in the cranial and lateral regions?,Day 22.
Midline fusion of the flat embryonic endoderm transforms it into the _____.,Gut tube
Which duct connects the midgut to the yolk sac as the yolk sac neck is reduced?,Vitelline duct.
Which layer of mesoderm lines the inner surface of the body wall after folding?,Somatic mesoderm.
Which layer of mesoderm ensheathes the gut tube after folding?,Splanchnic mesoderm.
On what day does the cranial neuropore of the neural tube typically close?,Day 24.
On what day does the caudal neuropore of the neural tube typically close?,Day 26.
Failure of the ventral body wall to close properly during folding can result in which abdominal defect?,Gastroschisis.
Which clinical condition involves the fusion of brain frontal lobes and is linked to SONIC\ HEDGEHOG\ (SHH) mutations?,Holoprosencephaly.
At what embryonic stage do the upper limb buds first appear?,Day 24.
Which structure at the distal margin of the limb bud maintains outgrowth along the proximal-distal axis?,Apical ectodermal ridge.
"From which germ layer is the epidermis and its derivatives (hair, nails) derived?",Surface ectoderm.
The adenohypophysis (anterior pituitary) is a derivative of which germ layer?,Surface ectoderm.
The enamel organ and enamel of the teeth originate from which germ layer?,Surface ectoderm.
Which germ layer gives rise to the mucosa of the oral cavity and lower anal canal?,Surface ectoderm.
Where can primordial germ cells (PGCs) first be identified in the human embryo?,In the wall of the yolk sac.
During which weeks of gestation do primordial germ cells migrate from the yolk sac to the genital ridge?,Fourth to sixth weeks.
What is the name for the fluid-filled cavity within a blastocyst?,Blastocoel (or blastocyst cavity).
On which day is the first cleavage division typically completed?,Day 1 (within 24 hours of fertilization).
How many blastomeres are typically present in the human embryo by the end of day 2?,Four.
At what cell stage does the blastocyst usually have approximately 100 cells?,By the fifth or sixth day of development.
Which transcription factor is critical for final endoderm development after being regulated by VegT and Nodal?,Sox17.
What is the name of the coagulation plug that marks the point of blastocyst implantation on the endometrial surface?,Transient coagulation plug.
The extraembryonic mesoderm is believed to originate from which structure in human embryos?,Hypoblast/primary yolk sac.
Which structure connects the amnion to the trophoblast before the umbilical cord forms?,Connecting stalk.
By which day of development is the embryo typically completely implanted in the uterine endometrium?,Day 9.
The space within the lateral plate mesoderm that is enclosed in the embryo during folding becomes the _____.,Intraembryonic coelom
At what day do paraxial mesoderm somites first begin coalescing in craniocaudal succession?,Day 21.
"In the trilaminar germ disk, which layer is positioned between the ectoderm and endoderm?",Mesoderm.
What is the collective term for the series of cells that form the egg and sperm?,The germ line.
Which specific protein is often used as a molecular marker to recognize primordial germ cells?,cKIT.
What is the approximate time taken for a human blastocyst to hatch from the zona pellucida?,Day 5.
The 'inside-outside' hypothesis explains the differentiation of blastomeres into which two groups?,Inner cell mass and trophoblast.
Which transcription factor is uniformly expressed in the morula but maintained only in the inner cell mass?,Oct4 (or nanog).
The primitive pit is continuous caudally with which structure?,The primitive groove.
"Epiblast cells move toward the streak, detach, and extend footlike processes called _____ to migrate.",Pseudopodia
Which embryonic axis is defined once the epiblast and hypoblast layers are distinct?,Dorsal-ventral axis.
Which specific type of mesoderm forms the notochord?,Axial (or midline) mesoderm.
At approximately what day do the lower limb buds first appear?,The end of the fourth week (lagging slightly behind upper limbs).
Which germ layer derivative includes the internal ear components?,Surface ectoderm.
What is the term for the process where the neural folds fuse to form the neural tube?,Neurulation.
Where on the embryo's body does closure of the neural groove typically begin?,Future occipital and cervical region.
The formation of the three primary germ layers is the defining event of _____.,Gastrulation
"Which transcription factor, highly related to SRY, is expressed by the inner cell mass to help regulate trophoblast differentiation?",Sox2.
How does the size of the embryo change during the first week of cleavage?,It remains the same size (subdividing the zygote).
The secondary yolk sac is formed by the second wave of migration from the _____.,Hypoblast
