Define pH in terms of the molar concentration of hydronium ions.,pH = -\log [H_3O^+]
"What is the mathematical expression for the autoprotolysis constant of water, K_w?",K_w = [H_3O^+][OH^-]
What is the value of K_w in pure water at 25\ ^\circ C?,1.0 \times 10^{-14}
"According to the Brønsted-Lowry definition, what is an acid?",A proton donor.
"According to the Brønsted-Lowry definition, what is a base?",A proton acceptor.
What is the Lewis definition of an acid?,An electron pair acceptor.
What is the Lewis definition of a base?,An electron pair donor.
The process of a molecule or ion gaining a proton is known as _____.,Protonation
The process of a molecule or ion losing a proton is known as _____.,Deprotonation
How is a strong acid characterized in terms of its behavior in aqueous solution?,It is essentially fully deprotonated in solution.
How is a weak acid characterized in terms of its behavior in aqueous solution?,It is only partially deprotonated in solution.
"In the reaction HA + H_2O \rightleftharpoons H_3O^+ + A^-, what is the species A^- called relative to HA?",The conjugate base.
"In the reaction B + H_2O \rightleftharpoons BH^+ + OH^-, what is the species BH^+ called relative to B?",The conjugate acid.
What is the definition of pOH?,pOH = -\log [OH^-]
"At 25\ ^\circ C, what is the sum of pH and pOH for any aqueous solution?",14.00
The equilibrium constant for the deprotonation of a weak acid in water is called the _____.,Acidity constant (K_a)
The equilibrium constant for the protonation of a weak base in water is called the _____.,Basicity constant (K_b)
How is the pK_a of an acid defined mathematically?,pK_a = -\log K_a
What is the relationship between the strength of an acid and its pK_a value?,"The stronger the acid, the smaller its pK_a."
How does the pH of a neutral solution change as the temperature increases?,"The pH decreases because the autoprotolysis of water is endothermic, increasing K_w."
What is the Henderson-Hasselbalch equation for a weak acid system?,pH = pK_a + \log \frac{[A^-]}{[HA]}
Define a 'buffer solution' in terms of its function.,A solution that resists changes in pH when small amounts of acid or base are added.
What are the two typical components of an acidic buffer?,A weak acid and its conjugate base.
Under what condition is the pH of a buffer solution exactly equal to the pK_a of its weak acid component?,When the concentrations of the weak acid and its conjugate base are equal ([HA] = [A^-]).
What is 'buffer capacity'?,The amount of acid or base a buffer can neutralize before the pH begins to change appreciably.
"In general chemistry kinetics, what does the Arrhenius equation k = Ae^{-E_a/RT} describe?",The temperature dependence of the reaction rate constant k.
"In the Arrhenius equation, what does E_a represent?",The activation energy.
How does a catalyst affect the activation energy (E_a) of a reaction?,It provides a reaction pathway with a lower activation energy.
The difference in energy between the ground state of reactants and the transition state is the _____.,Activation energy (\Delta G^\ddagger)
What is the 'pre-exponential factor' (A) in the Arrhenius equation?,A constant that represents the frequency and orientation of molecular collisions.
