What is the general molecular formula for open-chain saturated hydrocarbons (alkanes)?,C_nH_{2n+2}
Hydrocarbons that contain no carbon-carbon multiple bonds are classified as _____.,Saturated hydrocarbons (or alkanes)
What type of hybridization is found in the carbon atoms of an alkane?,sp^3 hybridization
What is the characteristic bond angle between carbon-hydrogen bonds in methane?,109.5^\circ
What geometric arrangement do the four single covalent bonds of an alkane carbon atom form?,Tetrahedral
The IUPAC name for a straight-chain hydrocarbon with one carbon atom is _____.,Methane
Term: Homologous series,"Definition: A series of compounds where each successive member differs by a constant unit, such as a -CH_2- group."
What is the IUPAC prefix for an alkane containing four carbon atoms?,But-
What is the IUPAC prefix for an alkane containing three carbon atoms?,Prop-
What is the name of the alkyl group derived from ethane by removing one hydrogen atom?,Ethyl group (-CH_2CH_3)
Compounds with the same molecular formula but different structural arrangements are known as _____.,Isomers (or structural isomers)
What are hydrocarbons that contain at least one carbon-carbon triple bond called?,Alkynes
What is the general molecular formula for open-chain alkynes with one triple bond?,C_nH_{2n-2}
What type of hybridization is found in the carbon atoms participating in a triple bond in an alkyne?,sp hybridization
What is the bond angle around the carbon atoms in the linear molecule ethyne?,180^\circ
"What is the common name for the simplest alkyne, ethyne (C_2H_2)?",Acetylene
"According to IUPAC rules, what suffix is used to denote the presence of a carbon-carbon triple bond?",-yne
Why are alkanes historically referred to as 'paraffins'?,Because they have 'little affinity' (low reactivity) for most chemical reagents.
What are the primary products of the complete combustion of a hydrocarbon in the presence of oxygen?,CO_2 and H_2O
What is the dominant intermolecular force acting between nonpolar alkane molecules?,London forces (or dispersion forces)
How does the boiling point of unbranched alkanes change as the number of carbon atoms increases?,The boiling point increases.
Why do branched alkanes typically have lower boiling points than their straight-chain isomers?,"Branching prevents molecules from packing closely together, leading to weaker London forces."
Are alkanes generally soluble or insoluble in water?,Insoluble
Which physical property of alkanes explains why oil floats on the surface of water?,Density (alkanes are less dense than water)
Process: Naming Alkanes,Step 1: Select the longest continuous chain of carbon atoms as the parent compound.
"In alkane nomenclature, from which end do you begin numbering the parent carbon chain?",The end closest to the first substituent.
A hydrocarbon containing a ring of carbon atoms with only single bonds is called a _____.,Cycloalkane
What is the IUPAC name for the straight-chain alkane with seven carbon atoms?,Heptane
What is the IUPAC name for the straight-chain alkane with nine carbon atoms?,Nonane
What is the IUPAC name for the alkane with the molecular formula C_{10}H_{22}?,Decane
"In an alkyne, a carbon-carbon triple bond consists of one \sigma-bond and _____ \pi-bonds.",Two
What is the name of the reaction where a hydrogen atom in an alkane is replaced by a halogen atom?,Substitution reaction
What kind of mechanism characterizes the halogenation of alkanes?,Radical chain mechanism
Which state of matter are the first four straight-chain alkanes (methane to butane) at room temperature?,Gas
Alkanes are described as nonpolar because the electronegativities of _____ and _____ are very similar.,Carbon; Hydrogen
Term: Aliphatic hydrocarbon,"Definition: A hydrocarbon that does not contain benzene rings (including alkanes, alkenes, and alkynes)."
Concept: Saturated vs. Unsaturated,"Saturated hydrocarbons contain only single bonds, while unsaturated hydrocarbons contain at least one double or triple bond."
What is the name of the alkyl group represented by the formula -CH_3?,Methyl group
What is the name of the alkyl group represented by the formula -CH_2CH_2CH_3?,Propyl group
Which specific alkyne is commonly used in torches for welding steel?,Ethyne (Acetylene)
How many hydrogen atoms are in a molecule of pentane?,12
How many hydrogen atoms are in a molecule of propyne?,4
"In the naming of alkynes, if a triple bond is between carbons 2 and 3 of a five-carbon chain, the parent name is _____.",2-pentyne
Why is the rotation about carbon-carbon single bonds in alkanes considered 'free' compared to multiple bonds?,"Because the \sigma-bond has cylindrical symmetry, allowing rotation without breaking the bond."
What is the general formula for a cycloalkane containing one ring?,C_nH_{2n}
What is the molecular formula of cyclohexane?,C_6H_{12}
What prefix is added to an alkyl group's name if the same group appears three times on the parent chain?,Tri-
"If multiple different alkyl groups are attached to a parent chain, in what order are they listed in the final IUPAC name?",Alphabetical order
What happens to the volatility of alkanes as their molar mass increases?,Volatility decreases.
"The process of using heat and catalysts to break down long-chain alkanes into smaller, more useful molecules is called _____.",Cracking
What is the molecular formula of butane?,C_4H_{10}
Which alkane isomer of butane has a Y-shaped carbon skeleton?,Methylpropane (or isobutane)
What is the IUPAC prefix for a hydrocarbon chain with six carbon atoms?,Hex-
How many carbon atoms are in a molecule of nonane?,9
What is the molecular formula of ethyne?,C_2H_2
"In the molecule 3-hexyne, the triple bond is located between carbon _____ and carbon _____.",3; 4
What geometric shape is formed by the electron density in the \pi-bonds of an alkyne relative to the C-C axis?,A cylinder
Identify the number of \sigma and \pi bonds in a carbon-carbon single bond.,One \sigma bond; zero \pi bonds
Why is the solubility of alkanes in water essentially zero?,They cannot form hydrogen bonds with water molecules.
Which fossil fuel is primarily composed of methane?,Natural gas
A mixture of hydrocarbons separated from petroleum that boils between 30^\circ\text{C} and 200^\circ\text{C} is known as _____.,Gasoline
What is the name of the alkyl group derived from removing a hydrogen from propane at the end carbon?,Propyl group
What is the formula for the undecyl group?,CH_3(CH_2)_9CH_2-
