What is the 8- to 16-cell stage of the cleaving embryo called?,Morula
During which day after fertilization does the morula typically enter the uterine cavity?,The third day
The individual cells resulting from the series of mitotic divisions in the early embryo are called _____.,Blastomeres
"In the blastocyst, what is the name of the centrally located clump of cells that gives rise to the embryo proper?",Inner cell mass (or embryoblast)
What is the outer cell layer of the blastocyst called?,Trophoblast
Which part of the early embryo is the primary source of the fetal component of the placenta?,Trophoblast
By which day of development is the human blastocyst entirely embedded within the endometrium?,The 11th day
"According to the 'rule of twos', the embryoblast splits into which two layers during the second week?",Epiblast and hypoblast
"During the second week, the trophoblast differentiates into which two distinct layers?",Cytotrophoblast and syncytiotrophoblast
"What is the name of the first cavity to form during the second week, appearing between the epiblast and the trophoblast?",Amniotic cavity
The primary yolk sac is also known as the _____ membrane.,Heuser's (or exocoelomic)
What tissue fills the space between Heuser's membrane and the cytotrophoblast in the middle of the second week?,Extraembryonic mesoderm
The extraembryonic coelom is another name for the _____ cavity.,Chorionic
What thick stalk of extraembryonic mesoderm suspends the embryonic disc in the chorionic cavity?,Connecting stalk
What term describes the maternal part of the placenta formed by the decidua basalis?,Basal plate
What is the name for the fetal side of the placenta from which the chorionic villi project?,Chorionic plate
Which specific region of the decidua underlies the site of implantation?,Decidua basalis
What is the decidua capsularis?,The thin portion of endometrium between the implantation site and the uterine lumen.
What is the name of the remaining endometrium of the uterus that is not at the implantation site?,Decidua parietalis
Which region of the chorion contains the highly branched villi adjacent to the decidua basalis?,Chorion frondosum (or villous chorion)
What is the 'chorion laeve'?,"The smooth, relatively avascular surface of the chorion where villi have degenerated."
What is the term for the 15 to 25 partially separated compartments of the mature placenta?,Cotyledons
What structures form the boundaries between cotyledons?,Placental (decidua) septa
When do uteroplacental circulation begin to develop with the formation of trophoblastic lacunae?,Day 9
What maternal structures anastomose with trophoblastic lacunae to establish primitive circulation?,Maternal sinusoids
A primary chorionic villus consists of a core of _____ covered by a layer of syncytiotrophoblast.,Cytotrophoblast
What defines a secondary chorionic villus compared to a primary villus?,The invasion of extraembryonic mesenchyme into the core.
What structural element characterizes a tertiary chorionic villus?,The presence of fetal blood vessels in the connective tissue core.
Fetal blood and maternal blood are separated by the _____.,Placental barrier
Which multinucleated layer lines the intervillous space and rests on the trophoblast basal lamina?,Syncytiotrophoblast
What are Hofbauer cells?,Fetal placental antigen-presenting cells (placental macrophages).
What transition occurs in the placental barrier starting at the fourth month to facilitate exchange?,The cytotrophoblast layer becomes thin and discontinuous.
How many umbilical arteries are typically present in the umbilical cord?,Two
Fetal blood returns from the placenta to the fetus through a single _____.,Umbilical vein
What maternal vessels supply blood directly into the intervillous spaces of the placenta?,Endometrial spiral arteries
What is the approximate total surface area of the villi in a mature human placenta?,10 m^{2}
What is the volume of maternal blood contained in the placenta at any given time?,Approximately 150 mL
"Which hormone, synthesized by the syncytiotrophoblast, is the basis for most pregnancy tests?",Human chorionic gonadotropin (hCG)
What is the primary function of human chorionic somatomammotropin (hCS)?,It regulates glucose metabolism and stimulates mammary duct proliferation.
By the end of which week does the placenta produce enough progesterone to maintain pregnancy without the corpus luteum?,The eighth week
Which cells synthesize relaxin to soften the cervix in preparation for labor?,Decidual cells
The 'decidual reaction' involves the accumulation of which two substances in endometrial stromal cells?,Lipid and glycogen
What term refers to the sprouts of syncytiotrophoblast that lengthen tertiary stem villi starting in the ninth week?,Trophoblastic sprouts
Immature intermediate villi reach their maximum length during which week of gestation?,The sixteenth week
What process releases fetal DNA into the maternal circulation during gestation?,Apoptosis of the syncytiotrophoblast
What is the approximate weight of the human placenta at term?,500 g to 600 g
What is the diameter of a mature human placenta?,15 to 20 cm
"Which condition is characterized by clear, swollen villi often resulting from trophoblastic disease?",Hydatidiform mole
Oligohydramnios refers to an inadequate supply of _____.,Amniotic fluid
What structure is formed by the expansion of the amnion enclosing the connecting stalk and yolk sac neck?,Umbilical cord
Which extraembryonic membrane is the major site of early hematopoiesis?,Yolk sac
The digestive tract anomaly known as Meckel's diverticulum results from the persistence of the _____.,Yolk sac
Monozygotic twins formed by the splitting of the inner cell mass will share a single _____.,Chorion
Monozygotic twins formed by the splitting of the bilaminar embryonic disc will share a single _____.,Amnion
Dizygotic twins always develop with separate _____.,"Amnions, chorions, and placentas"
What is the clue for distinguishing an amniotic septum from a chorionic septum in twins?,Amniotic membranes are transparent; chorionic membranes are thicker and opaque.
What happens to the chorionic cavity by the eighth week of development?,It is obliterated as the amniotic cavity fills the chorionic space.
Which fetal cells synthesize IGF-I and IGF-II to stimulate their own proliferation?,Cytotrophoblast
Which placental hormone helps provide passive immunity to the fetus against agents like measles?,Antibodies (maternal IgG)
The thinning of the villus wall after the fourth month is primarily due to the loss of the _____ layer.,Cytotrophoblastic
Which embryonic membrane forms the outer boundary of the extraembryonic space?,Chorion
What are 'anchoring villi'?,Villi that extend from the chorionic plate to the maternal side to make contact with tissue.
What are 'free villi'?,Villi that arborize within the placental substance without anchoring to the maternal side.
What structure connects the midgut of the embryo to the yolk sac?,Vitelline duct
Which hormone synthesized by the syncytiotrophoblast regulates maternal nutrient storage?,Leptin
When do terminal mesenchymal villi reach their maximum length?,The sixteenth week
The umbilical arteries carry blood that is _____.,Deoxygenated (and waste-rich)
Which layer of the placenta facilitates separation from the uterine wall after birth?,Stratum basale (decidua basalis)
"At term, approximately what percentage of the uterine surface is covered by the placenta?",25% to 30%
What is the 'trophoblastic shell'?,A thin layer of cytotrophoblastic cells formed around the syncytiotrophoblast.
Which growth factor stimulates the function of the differentiated trophoblast in the 6- to 12-week placenta?,Endothelial growth factor (EGF)
Where are primordial germ cells first identifiable in humans?,The wall of the yolk sac
How does hPL promote growth of the fetus metabolically?,"It converts the mother to a fatty acid user, sparing carbohydrates for the fetus."
The umbilical ring surrounds the roots of which two structures?,Vitelline duct and connecting stalk
What is the typical volume of amniotic fluid at the time of birth?,Approximately 1 L
Which type of monozygotic twin split results in conjoined twins?,Late splitting of the bilaminar embryonic disc
What are 'placental septae' made of?,Maternal decidual tissue
What is the term for the process by which the blastocyst settles into the endometrium?,Implantation
Which embryonic membrane becomes double-layered consisting of ectoderm on the inside and mesoderm on the outside?,Amnion
Which embryonic membrane consists of endoderm on the inside and mesoderm on the outside?,Yolk sac
"By the end of the third month, the decidua capsularis fuses with the _____.",Decidua parietalis
The maternal sinusoids are formed from which maternal vessels?,Capillaries
What is the thickness of a mature placenta at term?,2 to 3 cm
What is the purpose of the 'trophoblastic buds' formed at the fourth month?,They are transformed into new tertiary villi by rapid cytotrophoblast growth.
What happens to the vitelline duct normally by birth?,It disappears.
Maternal blood enters the placenta through about how many spiral arteries?,One hundred
What is the source of the precursors needed for placental estrogen synthesis?,Fetal adrenal cortex
At what gestational age (weeks) does fetal DNA first become detectable in maternal blood?,Week seven
What term describes the condition when the periderm layer persists until birth as a 'shell'?,Collodion baby
