"How is molar concentration (c), or molarity, defined mathematically?","c = \frac{n}{V}, where n is the amount of solute in moles and V is the volume of solution in liters."
What are the standard units for reporting molarity?,"The units are moles per liter (mol \cdot L^{-1}), often denoted by the symbol M."
What is the relationship between the units 1\ mol \cdot L^{-1} and mmol \cdot mL^{-1}?,They are equivalent concentrations.
How is the molality (b) of a solute calculated?,It is the amount of solute in moles divided by the mass of the solvent in kilograms (b = \frac{n_{solute}}{m_{solvent}}).
"Why do some texts, like Atkins, prefer the symbol b over m for molality?",To avoid confusion with the symbol m used for mass.
What are the units for molality?,"The units are moles of solute per kilogram of solvent (mol \cdot kg^{-1}), often referred to as ""molal."""
Term: Mass Percent,"Definition: The mass of solute divided by the total mass of the solution, multiplied by 100."
What is the formula for calculating concentration in parts per million (ppm)?,"ppm = \frac{mass\ solute}{mass\ solution} \times 1,000,000."
How is volume percent typically defined in the beverage industry?,"It is the volume of solute (e.g., alcohol) in milliliters per 100\ mL of solution."
"In the context of solution concentration, what does the term ""proof"" represent?",It is twice the volume percent of alcohol.
"What is the primary difference between a ""dilute"" and a ""concentrated"" solution?","A dilute solution has a relatively small amount of dissolved solute, while a concentrated solution has a large amount."
"When a solution is diluted by adding pure solvent, which quantity remains constant?",The total amount (moles) of solute in the solution remains the same.
What formula is used to calculate the volume or molarity changes during a dilution?,c_{initial}V_{initial} = c_{final}V_{final} (or M_1V_1 = M_2V_2).
What is the first procedural step in calculating the volume of stock solution needed for a specific dilution?,"Calculate the amount of solute (n) required in the final, dilute solution using n = c_{final}V_{final}."
"To find the mass (m) of solute needed to prepare a solution of known molarity (c) and volume (V), what equation is used?",m = c \times V \times M_{molar\ mass}.
Concept: Mole Fraction (x),Definition: The ratio of the moles of one component to the total moles of all components in a mixture (x_{solute} = \frac{n_{solute}}{n_{solute} + n_{solvent}}).
"In a dynamic equilibrium, how do the rates of the forward and reverse processes compare?",The forward and reverse processes occur at exactly matching rates.
What is the net change in reactant and product concentrations when a system reaches chemical equilibrium?,There is no net change in the concentrations.
How is the equilibrium constant (K_{eq}) defined for the general reaction aA + bB \rightleftharpoons cC + dD?,"K_{eq} = \frac{[C]^c [D]^d}{[A]^a [B]^b}, where concentrations are measured at equilibrium."
"Strictly speaking, what should be used in the equilibrium constant expression instead of molar concentrations?",Activities (effective concentrations in nonideal solutions).
What are the units for an equilibrium constant (K)?,Equilibrium constants are dimensionless.
"According to Le Chatelier's principle, how does an equilibrium shift if more reactant is added?",The equilibrium shifts to the right (toward the products) to reduce the concentration of the added reactant.
What happens to the equilibrium position if a product is removed from the reaction mixture?,The equilibrium shifts to the right to produce more of that product.
"In a gas-phase equilibrium, what is the effect of reducing the volume (compression) on the reaction direction?",The equilibrium tends to shift in the direction that minimizes the resulting increase in pressure (fewer moles of gas).
Term: Common-Ion Effect,Definition: The decrease in the solubility of an ionic compound caused by the addition of a soluble salt that shares an ion with the compound.
How does the addition of excess OH^- ions affect the solubility of heavy metal hydroxides?,"It reduces their solubility, often causing them to precipitate out of the solution."
What is the term for the numerical value of the molar concentration of a saturated solution?,Molar solubility (s).
What is the first step in treating equilibria between species in solution?,Identify the specific solute species present in the solution.
"In a titration, how is the molarity of unreacted H_3O^+ calculated after adding some titrant?",Divide the remaining moles of H_3O^+ by the total volume of the combined solutions (V_{analyte} + V_{titrant}).
What is the relationship between the reaction quotient (Q) and the equilibrium constant (K) after a perturbation?,The reaction occurs in the direction that restores the value of Q to match K.
Which concentration unit is defined as the amount of solute per liter of solution?,Molarity (M).
"When calculating the molarity of a solution from mass percent and density, what is the first step?",Calculate the total mass of 1\ L of solution using its density (m_{solution} = d \times 10^3\ mL).
The _____ expresses the concentration of the solution as the percent of solute in a given mass of solution.,Mass percent method
Formula: Molar mass (M),Purpose: Used to convert the mass of a solute (m) into the amount in moles (n) using n = \frac{m}{M}.
What determines the direction of a reaction according to thermodynamics?,"The Gibbs free-energy change (\Delta G), which depends on the concentrations or partial pressures of reactants and products."
Why is it advisable to perform successive dilutions rather than weighing out a very small mass for very dilute solutions?,To minimize errors associated with weighing extremely small quantities or measuring tiny volumes of stock.
What does a 10\% sodium hydroxide solution mean in terms of mass composition?,Every 100\ g of solution contains 10\ g of NaOH and 90\ g of water.
A solution that contains a relatively large amount of dissolved solute is described as _____.,concentrated
What is the concentration of H_3O^+ in a neutral aqueous solution at 25\ ^{\circ}C?,1.0 \times 10^{-7}\ mol \cdot L^{-1}.
