"In both bone and cartilage, what specific component characterizes the tissue rather than the cells?",Extracellular material
"What is the primary collagen type found in the connective tissue of skin, bone, and tendons?",Type I collagen
Which specific type of collagen provides resistance to intermittent pressure in hyaline and elastic cartilage?,Type II collagen
What specialized cells are responsible for producing and maintaining the extracellular matrix in cartilage?,Chondrocytes
Why is the high ratio of glycosaminoglycans (GAGs) to Type II collagen fibrils essential for chondrocyte survival?,It permits diffusion of substances from blood vessels to the avascular matrix.
"What term describes the glassy, amorphous matrix characteristic of hyaline cartilage?",Hyaline
What are the small spaces within the cartilage matrix called that house chondrocytes?,Lacunae
What term refers to clusters of chondrocytes that have recently divided and are located close together?,Isogenous groups
Which layer of the perichondrium is specifically responsible for providing new chondrocytes during appositional growth?,Inner cellular (chondrogenic) layer
What is the primary functional difference between elastic cartilage and hyaline cartilage matrix?,Elastic cartilage contains a dense network of branching elastic fibers and lamellae.
Which type of cartilage is characterized by the presence of both Type I and Type II collagen fibers?,Fibrocartilage
"Unlike hyaline and elastic cartilage, which cartilage type lacks a perichondrium?",Fibrocartilage
"In fibrocartilage, which proteoglycan monomer is found in larger amounts than aggrecan?",Versican
The process of adding new cartilage at the surface of existing cartilage is called _____ growth.,Appositional
The proliferation of new chondrocytes by division within the existing cartilage matrix is called _____ growth.,Interstitial
What is the specific mineral form of calcium phosphate deposited in bone matrix?,Hydroxyapatite crystals (Ca_{10}(PO_{4})_{6}(OH)_{2})
Approximately what percentage of total bone matrix protein weight is constituted by collagen molecules?,90%
Which bone cell type is derived from the fusion of hemopoietic progenitor cells rather than mesenchymal stem cells?,Osteoclast
What structural unit characterizes mature compact bone and consists of concentric lamellae?,Osteon (Haversian system)
"What are the fine, thread-like channels in bone matrix that contain the cytoplasmic processes of osteocytes?",Canaliculi
What type of channels allow blood vessels to travel from one Haversian canal to another or to the marrow?,Perforating (Volkmann's) canals
What is the method of bone development that forms directly from mesenchyme without a cartilage precursor?,Intramembranous ossification
Which specific bones develop via intramembranous ossification?,"Flat bones of the skull, face, mandible, and clavicle."
What is the first signs of ossification in the development of a long bone by the endochondral method?,The appearance of a bony collar around the cartilage model.
Which transcription factor is essential for the differentiation of mesenchymal cells into osteoblasts?,Cbfa1
What specific transcription factor is expressed during the condensation of mesenchymal cells in early long bone development?,Sox9
Which tissue origin gives rise to the appendicular skeleton and the sternum?,Lateral plate mesoderm
Which embryonic cell population gives rise to the cartilaginous elements of the face and neck?,Neural crest cells
What is the term for the remaining hyaline cartilage between the epiphysis and diaphysis that allows for growth in length?,Epiphyseal growth plate
"In the zones of epiphyseal cartilage, which zone is closest to the epiphysis and contains non-proliferating cells?",Zone of reserve cartilage
Which zone of articular cartilage is characterized by chondrocytes arranged in short columns perpendicular to the surface?,Deep (radial) zone
What is the boundary line that separates the deep (radial) zone from the calcified zone in articular cartilage?,Tidemark
What type of tissue replaces hyaline cartilage if the cartilage undergoes calcification during aging?,Bone tissue
What is the function of metalloproteinases secreted by chondrocytes within isogenous groups?,They degrade the matrix to allow cells to expand and reposition themselves.
"In the matrix of hyaline cartilage, which region immediately surrounds the lacuna and stains most intensely with basic dyes?",Capsular (territorial) matrix
"Which cartilage type is found in the external ear, auditory tube, and epiglottis?",Elastic cartilage
Where is fibrocartilage typically located in the human body?,"Intervertebral discs, symphysis pubis, and menisci of the knee."
"What thin, anastomosing spicules of bone tissue form the interior meshwork of spongy bone?",Trabeculae
What is the fibrous connective tissue capsule that covers the outer surface of a bone?,Periosteum
What is the thin layer of connective tissue cells that lines the marrow cavity of a bone?,Endosteum
"In bone histology, what is the term for the unmineralized initial bone matrix produced by osteoblasts?",Osteoid
What defines 'mature' bone as compared to 'immature' bone in terms of structural organization?,Mature bone displays an organized lamellar appearance and osteons.
Which collagen types are associated with the regulation of Type II collagen fibril size in cartilage?,Types IX and XI
Which zone of articular cartilage contains flattened chondrocytes surrounded by collagen fibrils parallel to the surface?,Superficial (tangential) zone
What cell type is believed to be responsible for the removal of calcified cartilage during ossification?,Chondroclast
What embryonic tissue origin forms the axial skeleton (vertebrae and ribs)?,Paraxial mesoderm
The process in which new osteons are formed in preexisting compact bone is called _____.,Internal remodeling
"In endochondral ossification, where is the secondary center of ossification established?",In the epiphysis
Which specific zone of epiphyseal cartilage involves chondrocytes increasing in size rather than number?,Zone of hypertrophic cartilage
What provides the resilience and weight-bearing capacity of cartilage matrix in synovial joints?,Heavily hydrated proteoglycan aggregates combined with a collagen meshwork.
Which layer of the periosteum is functionally active in a developing bone where cells are differentiating into osteoblasts?,Osteogenic layer
How do osteocytes maintain communication despite being trapped in mineralized bone matrix?,Through thin cytoplasmic processes extending into canaliculi.
What is the primary metabolic role of bone in maintaining homeostasis?,Storage and release of calcium and phosphate to the blood.
"In fibrocartilage, what structural feature indicates that the tissue is adapted to resist both compression and shear forces?",The combination of dense connective tissue and isogenous groups of chondrocytes.
What happens to the epiphyseal plate when lengthwise growth of a bone is completed?,The cartilage disappears and is replaced by an epiphyseal line.
Which class of molecules in hyaline cartilage provides the matrix with a high degree of hydration?,Proteoglycans (containing sulfated GAGs)
What is the appearance of 'immature bone' under a microscope compared to mature bone?,Non-lamellar with an interlacing arrangement of collagen fibers and randomly arranged cells.
Which embryonic cell population gives rise to the axial skeleton's vertebral column?,Paraxial mesoderm
The process of bone formation that includes the replacement of a hyaline cartilage model is called _____.,Endochondral ossification
What specific staining characteristic is used to identify territories of high proteoglycan concentration in cartilage?,Basophilia (or metachromasia)
