The eukaryotic cell is divided into which two major compartments?,The cytoplasm and the nucleus.
The part of the cell located outside the nucleus is known as the _____.,Cytoplasm
What aqueous gel contains the organelles and inclusions within a cell?,The cytoplasmic matrix (or cytosol).
Which category of organelles possesses plasma membranes that separate their internal environment from the cytoplasm?,Membranous organelles
What do the enclosed spaces of membranous organelles constitute within the cell?,Intracellular microcompartments
Which category of organelles lacks a plasma membrane and often contains proteins that self-assemble into polymers?,Nonmembranous organelles
What is the approximate thickness of the plasma membrane in microns?,0.008 to 0.01 \mum
Why is the plasma membrane not visible when using a standard light microscope?,Its thickness is below the resolution limit of the light microscope.
What is the primary site of protein synthesis and modification of newly synthesized proteins?,Rough-surfaced endoplasmic reticulum (rER).
The light microscopic term for the intensely basophilic regions of cytoplasm in cells active in protein synthesis is _____.,Ergastoplasm
By what structures are ribosomes attached to the membrane of the rough-surfaced endoplasmic reticulum?,Ribosomal docking proteins
Concept: Polyribosomes (Polysomes),Definition: Groups of ribosomes attached to a single thread of messenger RNA (mRNA).
Which organelle is involved in lipid and steroid synthesis and lacks attached ribosomes?,Smooth-surfaced endoplasmic reticulum (sER).
How does the region of smooth-surfaced endoplasmic reticulum often appear in light microscopy?,Distinctly eosinophilic
Which organelle consists of multiple flattened cisternae and is responsible for packaging proteins for transport?,Golgi apparatus
"In standard histologic preparations, the Golgi apparatus often appears as a _____.",Negative staining region
Where are early endosomes typically located within the cell?,Peripheral cytoplasm near the cell membrane.
What is the typical destination for late endosomes as they mature?,Lysosomes
Which endosomal compartment has a lumen pH ranging from 6.2 to 6.5?,Early endosome
Which endosomal compartment has a more acidic average pH of 5.5?,Late endosome
Selective vesicles that transport substances between early and late endosomes are called _____.,Multivesicular bodies (MVBs)
What is the major digestive compartment in the cell that contains hydrolytic enzymes?,Lysosome
Process: Autophagy,"Definition: The degradation of the cell's own cytoplasmic components, like organelles, within lysosomes."
Which organelles provide most of the energy to the cell by producing adenosine triphosphate (ATP)?,Mitochondria
What vital dye can be used to visualize mitochondria in living cells?,Janus green B
The internal membrane folds of mitochondria that increase surface area are called _____.,Cristae
Which small organelles are involved in the production and degradation of hydrogen peroxide (H_{2}O_{2})?,Peroxisomes
What are the primary protein subunits that compose microtubules?,\alpha-tubulin and \beta-tubulin.
The property of microtubules continuously elongating and shortening is known as _____.,Dynamic instability
Which cytoskeletal element is composed of flexible chains of actin molecules?,Actin filaments (microfilaments).
Which ropelike cytoskeletal fibers provide tensile strength and resistance to shearing forces?,Intermediate filaments
What is the focal point around which the microtubule-organizing center (MTOC) assembles?,Centrioles
Describe the orientation of the two centrioles in a resting cell's pair.,Orthogonal (at a right angle to each other).
"The amorphous, dense material surrounding centrioles in the MTOC is called _____.",Pericentriolar material
"Which structures, derived from centrioles, serve as the organizing centers for cilia?",Basal bodies
"Cellular products such as pigment granules, lipid droplets, and glycogen are classified as _____.",Inclusions
The nucleus of a nondividing cell is specifically referred to as an _____.,Interphase nucleus
What complex of DNA and proteins is responsible for the basophilia of the nucleus?,Chromatin
Which form of chromatin is highly condensed and stains intensely with hematoxylin?,Heterochromatin
"Which form of chromatin is dispersed, lightly staining, and indicates active transcription?",Euchromatin
