"Which specific gene on the short arm of the Y chromosome determines ""gonadal sex"" by triggering the formation of the testes?",The SRY gene (Sex-determining Region Y).
"In the male embryo, which cell type differentiates in response to the SRY protein and acts as the main organizing center for the testis?",Sertoli cells (or pre-Sertoli cells).
What is the primary function of Müllerian-inhibiting factor (MIF) or Anti-Müllerian hormone (AMH) in the developing male?,"It inhibits the development of paramesonephric (M\ddot{u}llerian) ducts, preventing the formation of female reproductive organs."
"Which steroid hormone, secreted by Leydig cells, is responsible for the survival and differentiation of the mesonephric ducts into the male reproductive tract?",Testosterone.
The differentiation of male external genitalia (penis and scrotum) is primarily driven by which hormone?,Dihydrotestosterone (DHT).
Which enzyme is responsible for converting testosterone into the more potent androgen dihydrotestosterone (DHT)?,5\alpha-reductase.
"The appearance of testosterone, Müllerian-inhibiting factor (MIF), and dihydrotestosterone (DHT) in the embryo determines its _____.",Hormonal sex.
At what life stage does the process of spermatogenesis typically begin under the influence of rising pituitary gonadotropins?,Shortly before puberty.
"Which category of hormones, released by the anterior pituitary, triggers the growth of the testes and the commencement of spermatogenesis?",Gonadotropins (specifically FSH and LH).
"In the female, which hormone promotes the growth of internal and external sex organs and stimulates ductal growth in mammary glands at puberty?",Estrogens.
Which hormone prepares the mammary gland for lactation by promoting lobular proliferation?,Progestogens (Progesterone).
The transformation of uterine stromal cells into decidual cells is primarily enabled by the sequential influence of which two hormones?,Estrogens and progesterone.
What placental hormone initially regulates testosterone secretion by fetal Leydig cells until the pituitary gonadotropins take over?,Chorionic gonadotropin (hCG).
"Which ""pro-ovarian"" signaling molecule is required for the initial formation of the paramesonephric duct in both sexes?",Wnt4.
Which oocyte-released factor is essential for activating the folliculogenesis program and forming primordial follicles?,Fig\alpha (Factor in germline alpha).
"In the female embryo, which signaling molecule from the mesonephros induces germ cells to enter the first meiotic prophase?",Retinoic acid.
Sertoli cells prevent male germ cells from entering meiosis by expressing which enzyme to metabolize retinoic acid?,Cyp26b1.
"Which transcription factor, activated by SRY, is the primary mediator of Sertoli cell differentiation and male sex determination?",SOX9.
"Which hormone, secreted by Leydig cells, is the critical regulator of the first stage of testicular descent?",Insulin-like factor-3 (Insl3 or relaxin-like factor).
"In the female cycle, which hormonal event is required for the primary oocyte to complete its first meiotic division and undergo ovulation?",The monthly surge of pituitary gonadotropic hormones (FSH and LH).
What hormonal trigger is required for the definitive oocyte to complete its second meiotic division?,Fertilization by a spermatozoon.
"Which factor on the X chromosome acts as an ""anti-testis"" signal by antagonizing SRY when present in double dosage?",DAX1.
"Which transcription factor, expressed in follicle cells, is essential for maintaining the female gonad phenotype and repressing Sox9 throughout adulthood?",Foxl2.
The absence of which hormone allows the external genitalia to develop along the female template regardless of genetic sex?,Dihydrotestosterone (DHT).
Which hormone peak occurs in the male fetus between weeks 14 and 18 of gestation under hCG control?,Testosterone.
Which enzyme converts androgens into estrogens and is vital for maintaining the estrogenic environment of the ovary?,Aromatase.
Which pituitary hormones are significantly depressed in individuals with secondary hypogonadism?,Gonadotropins.
