What process produces gametes containing half the number of chromosomes and half the DNA of somatic cells?,Meiosis
A cell resulting from the fusion of an ovum and a sperm is called a(n) _____.,Zygote
"Chromosomes that are similar but not identical, with one set from each parent, are called _____ chromosomes.",Homologous
"In humans, the haploid number (1n) of chromosomes is _____.",23
"During the S phase preceding meiosis, the DNA content becomes _____ while the chromosome number remains 2n.",4d
Which meiotic division is known as the reductional division?,Meiosis I
"In meiosis I, the chromosome number is reduced from 2n (diploid) to _____ (haploid).",1n
During which phase of meiosis I do homologous chromosomes pair and undergo recombination?,Prophase I
Meiosis II is also referred to as the _____ division.,Equatorial
What occurs to the DNA content during meiosis II?,It is reduced from 2d to 1d (haploid amount).
How many functional haploid spermatids are produced from one primary spermatocyte in males?,Four
"In females, the two meiotic divisions of a primary oocyte yield one haploid ovum and three _____.",Polar bodies
What are the first-generation spermatogonia derived from primordial germ cells in the prepubertal testis called?,Gonocytes
Where do primordial germ cells (PGCs) first appear during the fourth week of gestation?,The wall of the yolk sac
PGCs migrate from the yolk sac to the developing gonads located in the _____.,Genital ridges
What type of tumor can arise if primordial germ cells become stranded at extragonadal sites during migration?,Teratoma
The somatic support cells in the male gonad organize into epithelial cords called _____.,Testis cords
"In females, at what specific stage is the first meiotic division arrested until just before ovulation?",Diplotene stage of prophase I
Primary oocytes remain in meiotic arrest for a period of _____ to _____ years.,12 to 50
What hormone surge triggers the resumption of the monthly ovarian cycle at puberty?,Follicle-stimulating hormone (FSH) and Luteinizing hormone (LH)
"The extracellular coat secreted by the oocyte, composed of glycoproteins like ZP-3, is the _____.",Zona pellucida
Which zona pellucida protein functions as the primary spermatozoa-binding receptor?,ZP-3
Resumption and termination of the second meiotic division in the oocyte is triggered by _____.,Fertilization (sperm penetration)
"After sperm entry, the genetic material from the sperm head forms the _____.",Male pronucleus
The first series of mitotic divisions of the zygote without cell growth is known as _____.,Cleavage
Individual cells produced during the cleavage of the zygote are called _____.,Blastomeres
A solid ball of 12 to 32 blastomeres formed by day 3 or 4 is the _____.,Morula
The process occurring at the 8-cell stage where blastomeres flatten and maximize cell-to-cell contact is _____.,Compaction
The fluid-filled cavity that forms within the morula to create a blastocyst is the _____.,Blastocyst cavity (or blastocoel)
"In the blastocyst, the inner cell mass is also referred to as the _____.",Embryoblast
The outer cell layer of the blastocyst that will form the fetal portion of the placenta is the _____.,Trophoblast
"Around day 5, the blastocyst must _____ from the zona pellucida to begin implantation.",Hatch
The side of the blastocyst where the embryoblast is located is called the _____.,Embryonic pole
"During the second week, the embryoblast differentiates into which two layers?",Epiblast and Hypoblast
The bilaminar embryonic disc consists of the _____ and the _____.,Epiblast; Hypoblast
What cavity develops between the epiblast and the overlying trophoblast during the second week?,Amniotic cavity
The hypoblast sends out migratory cells to form the lining of the _____.,Primary yolk sac (Heuser's membrane)
Implantation of the blastocyst typically begins at about the _____ or _____ day of development.,Fifth; Sixth
The process by which the three primary germ layers are formed is called _____.,Gastrulation
The linear thickening of epiblast cells that marks the beginning of gastrulation is the _____.,Primitive streak
"During gastrulation, cells of the epiblast migrate through the primitive streak in a process called _____ transition.",Epithelial-to-mesenchymal (EMT)
Which primary germ layer is formed by the first wave of epiblast cells that displace the hypoblast?,Endoderm
Epiblast cells that migrate through the primitive streak and settle between the epiblast and new endoderm form the _____.,Mesoderm
The cells remaining in the epiblast after gastrulation is complete constitute the _____.,Ectoderm
The transcription factor responsible for repressing epithelial characteristics (like E-cadherin) during EMT in the primitive streak is _____.,Snail
Failure of the two copies of chromosome 21 to separate during meiosis is a phenomenon called _____.,Non-disjunction
